TITLE,Taq temp test HEPES 10-28-2020,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,20/10/28,,
TIME,20:38:32,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,300,,
LASTX,190,,
NPOINTS,1101,,
FIRSTY,0.69182,,
MAXY,1.20277,,
MINY,-4.83543,,
XYDATA,,,
278.1,0.792067,256.917,0.785357
278,0.641131,256.936,0.785586
277.9,0.709106,256.92,0.785391
277.8,0.705442,256.903,0.785188
277.7,0.613933,256.914,0.785315
277.6,0.590471,256.91,0.785271
277.5,0.616729,256.893,0.785068
277.4,0.474055,256.875,0.784857
277.3,0.393349,256.869,0.784777
277.2,0.364822,256.842,0.784459
277.1,0.355812,256.802,0.783967
277,0.436003,256.823,0.784225
276.9,0.46898,256.81,0.784068
276.8,0.473029,256.793,0.78386
276.7,0.356245,256.773,0.78362
276.6,0.35019,256.784,0.783759
276.5,0.461371,256.794,0.783879
276.4,0.462592,256.79,0.78383
276.3,0.445994,256.787,0.783788
276.2,0.424149,256.763,0.783501
276.1,0.325833,256.734,0.783151
276,0.275636,256.724,0.783039
275.9,0.382001,256.735,0.783166
275.8,0.297456,256.715,0.782922
275.7,0.275171,256.717,0.782952
275.6,0.208956,256.725,0.783042
275.5,0.338211,256.718,0.782964
275.4,0.367758,256.747,0.783312
275.3,0.413774,256.751,0.783361
275.2,0.493838,256.747,0.783311
275.1,0.556829,256.732,0.783132
275,0.644194,256.735,0.783167
274.9,0.584132,256.738,0.783205
274.8,0.585473,256.706,0.782823
274.7,0.62301,256.676,0.782459
274.6,0.624592,256.621,0.781799
274.5,0.618074,256.594,0.78147
274.4,0.509218,256.582,0.781327
274.3,0.592995,256.582,0.781323
274.2,0.532886,256.55,0.78094
274.1,0.523226,256.534,0.780746
274,0.53794,256.525,0.780643
273.9,0.418917,256.52,0.780579
273.8,0.436771,256.531,0.780709
273.7,0.372107,256.514,0.780504
273.6,0.332229,256.519,0.78056
273.5,0.325227,256.469,0.779957
273.4,0.286287,256.47,0.779969
273.3,0.224708,256.482,0.780113
273.2,0.22535,256.476,0.780052
