TITLE,SL + BM Corrected Average Protein,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,14:32:43,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.06098,,
MAXY,57.79573,,
MINY,-68.37383,,
XYDATA,,,
300.3,-225.670975,207.891,0.14264
300.2,-74.69701976,206.818,0.127229
300.1,771.3034598,208.305,0.148578
300,-182.8000553,207.873,0.14238
299.9,-113.3020777,207.227,0.133111
299.8,947.6369078,207.349,0.134869
299.7,-344.8018577,207.893,0.142672
299.6,785.1152905,206.933,0.128892
299.5,-871.729195,206.78,0.126691
299.4,-175.9724137,207.473,0.136642
299.3,278.484108,206.998,0.129821
299.2,56.33429644,207.308,0.134283
299.1,-76.73325296,208.118,0.145902
299,778.2966561,206.558,0.123492
298.9,203.2363808,206.858,0.127816
298.8,485.501448,207.324,0.134511
298.7,-242.5163271,207.155,0.132085
298.6,-168.9655204,207.232,0.133193
298.5,1496.430266,207.245,0.133372
298.4,337.1386414,207.663,0.139374
298.3,630.7491765,206.746,0.126201
298.2,616.0367254,207.783,0.141097
298.1,316.5566219,207.252,0.133469
298,137.1230435,206.801,0.126984
297.9,327.6910821,206.61,0.124243
297.8,-398.2949262,207.657,0.139293
297.7,42.28835178,207.797,0.141292
297.6,382.0151845,207.139,0.131857
297.5,431.7657049,207.723,0.140236
297.4,599.8642518,207.031,0.130293
297.3,-216.3495916,207.563,0.137943
297.2,436.4384559,207.673,0.13952
297.1,-74.95072635,207.271,0.133746
297,-478.6214005,207.682,0.13965
296.9,-159.6490501,207.433,0.136073
296.8,-592.9309499,207.279,0.13386
296.7,-60.43698551,207.206,0.132818
296.6,-290.3918366,206.56,0.123525
296.5,314.5768142,207.771,0.140918
296.4,62.92626087,207.873,0.14238
296.3,813.2303307,207.861,0.142217
296.2,-218.8862108,207.918,0.143029
296.1,916.8988086,206.526,0.123035
296,-542.5820804,206.618,0.124358
295.9,525.5705929,208.177,0.146746
295.8,-81.77388669,209.484,0.165399
295.7,467.6556364,207.469,0.136594
295.6,385.3706443,206.787,0.126788
295.5,29.57503294,206.788,0.126805
295.4,142.9292187,208.516,0.151592
295.3,664.9482767,207.373,0.135211
295.2,-200.0433491,208.265,0.147994
295.1,125.7844835,206.88,0.128126
295,-4.715926219,206.939,0.128973
294.9,-79.78931489,207.156,0.132102
294.8,785.4570448,207.914,0.14298
294.7,-449.2595788,205.64,0.110245
294.6,138.1845586,206.656,0.124896
294.5,-309.0372833,208.004,0.144263
294.4,-142.5184585,206.962,0.129299
294.3,-172.1642542,207.865,0.142266
294.2,258.1829657,208.107,0.14574
294.1,-483.6798999,207.701,0.139927
294,-162.4454651,206.588,0.123917
293.9,-622.0304598,207.173,0.132346
293.8,270.057643,208.125,0.146
293.7,769.1493731,207.914,0.14298
293.6,879.2692279,206.61,0.124243
293.5,718.607942,206.606,0.124178
293.4,631.5559727,206.946,0.129071
293.3,-277.4346522,207.025,0.130212
293.2,-399.9126574,207.366,0.135113
293.1,-372.6674493,208.075,0.145286
293,142.2393083,207.941,0.143354
292.9,-358.3052833,207.05,0.13057
292.8,185.6520026,206.997,0.129804
