TITLE,class,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIGIN,JASCO,,,,,,,,,,,,,,,,,,,,,,,,,,
OWNER,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,21/09/28,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME,16:11:38,,,,,,,,,,,,,,,,,,,,,,,,,,
SPECTROMETER/DATA SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCALE,1033,,,,,,,,,,,,,,,,,,,,,,,,,,
RESOLUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELTAX,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
XUNITS,NANOMETERS,,,,,,,,,,,,,,,,,,,,,,,,,,
YUNITS,CD [mdeg],,,,,,,,,,,,,,,,,,,,,,,,,,
Y2UNITS,HT [V],,,,,,,,,,,,,,,,,,,,,,,,,,
Y3UNITS,ABSORBANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRSTX,260,,,,,,,,,,,,,,,,,,,,,,,,,,
LASTX,190,,,,,,,,,,,,,,,,,,,,,,,,,,
NPOINTS,701,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRSTY,0.17797,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXY,12.60967,,,,,,,,,,,,,,,,,,,,,,,,,,
MINY,-5.51119,,,,,,,,,,,,,,,,,,,,,,,,,,
XYDATA,,,,,,,,,,pro. + buffer,,,,,,,,,buffer,,,,,,,,
257.2,1.28502,253.196,0.740315,1.28502,253.196,0.740315,-0.348768,253.119,0.73937,0.72723,253.125,0.739453,1.03727,253.233,0.740769,0.827851,253.296,0.741529,0.840095,252.815,0.735667,0.259994,253.326,0.74189,0.669783,252.602,0.733069
257.1,0.338075,252.881,0.736468,0.338075,252.881,0.736468,0.0684812,252.969,0.737544,-0.0675686,253.369,0.742421,0.623443,252.871,0.736347,0.505618,253.174,0.74005,-0.00539279,252.51,0.731945,1.40506,252.957,0.737396,0.704353,252.633,0.733445
257,-0.089713,253.067,0.738747,-0.089713,253.067,0.738747,-0.164432,253.286,0.74141,0.330762,253.382,0.742578,1.02789,253.345,0.74213,0.990218,253.112,0.739285,0.390543,252.656,0.733725,0.335115,252.405,0.730671,0.761992,252.637,0.733497
256.9,0.371995,253.279,0.741328,0.371995,253.279,0.741328,0.170975,252.961,0.737449,0.613048,253.236,0.740803,0.745983,253.255,0.741031,0.273363,253.34,0.742064,0.151713,252.809,0.7356,0.54657,252.309,0.7295,1.63959,252.678,0.734
256.8,-0.35849,252.989,0.737789,-0.35849,252.989,0.737789,1.13364,253.193,0.740272,0.119355,253.215,0.740545,0.827411,253.247,0.740938,0.209002,253.077,0.738859,1.99639,252.573,0.732713,0.182761,252.239,0.728634,0.640299,252.79,0.735363
256.7,0.882447,252.93,0.737068,0.882447,252.93,0.737068,0.450728,252.923,0.736983,0.899569,253.282,0.741354,0.627896,253.359,0.742293,0.376207,253.312,0.741721,0.38073,252.671,0.733908,0.568792,252.516,0.732026,1.34458,252.957,0.737397
256.6,1.07387,252.979,0.737665,1.07387,252.979,0.737665,0.122158,252.866,0.736291,0.108943,253.305,0.741645,-0.50441,253.274,0.741266,0.204458,253.256,0.741045,0.894332,252.562,0.732583,-0.193051,253.1,0.73914,0.741089,252.874,0.736384
256.5,0.703033,253.199,0.740346,0.703033,253.199,0.740346,0.278432,253.161,0.739882,1.05112,253.157,0.739834,1.36784,253.324,0.741873,0.00638754,253.288,0.741438,0.35537,253.061,0.738668,0.600575,252.698,0.734247,0.361157,252.807,0.735569
256.4,0.662344,253.376,0.742507,0.662344,253.376,0.742507,-0.0209957,253.117,0.739347,0.189627,253.601,0.74524,1.14629,253.376,0.742503,0.96579,253.28,0.741335,1.66715,252.736,0.73471,0.69644,252.904,0.736752,0.92182,252.801,0.735503
256.3,-0.272296,253.047,0.738495,-0.272296,253.047,0.738495,1.10102,253.326,0.741893,0.205223,253.415,0.742983,0.270296,253.237,0.74081,0.57791,253.174,0.740048,0.896796,252.753,0.734912,0.16793,252.794,0.735417,-0.015337,252.681,0.73404
