TITLE,KMGM_BUFFER&PROTEIN_928_Averages
DATA TYPE,
ORIGIN,JASCO
OWNER,
DATE,22/09/28
TIME,15:18:43
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,CD [mdeg]
Y2UNITS,HT [V]
Y3UNITS,ABSORBANCE
FIRSTX,320
LASTX,190
NPOINTS,1301
FIRSTY,1.27862
MAXY,49.95761
MINY,-56.57431
XYDATA,
281.7,-0.1966193334
281.6,0.9988636663
281.5,1.237216667
281.4,-0.463593
281.3,1.054015
281.2,-0.8995386667
281.1,0.544150234
281,-0.432415667
280.9,-0.0939983333
280.8,0.287666834
280.7,-0.3770266666
280.6,0.27851
280.5,0.0957503333
280.4,0.254405334
280.3,0.035328
280.2,-0.5883787337
280.1,1.188739667
280,0.4617103333
279.9,1.262232167
279.8,0.7861186667
279.7,-0.843754033
279.6,-0.099036667
279.5,0.2064077333
279.4,-0.1250973666
279.3,-0.6871156667
279.2,0.260225
279.1,0.3921416667
279,-1.398290334
278.9,0.806519
278.8,-0.034715333
278.7,-0.327019333
278.6,0.423253667
278.5,-0.1311574
278.4,0.147619
278.3,0.6042266667
278.2,-2.14437
278.1,0.8712416667
278,0.8074866333
277.9,-0.1012313333
277.8,0.533687333
277.7,0.029189
277.6,1.323906
277.5,0.02856
277.4,1.3215033
277.3,0.3698453333
277.2,0.7131173337
277.1,-0.6963353
277,-0.116941667
276.9,-0.349639667
276.8,1.098718667
276.7,0.244096634
276.6,-1.163965667
276.5,0.2083456667
276.4,-1.7597807
276.3,1.221819667
276.2,0.7119943337
276.1,-0.9200166667
276,0.2697219
275.9,0.675011
275.8,-0.802287334
275.7,-0.777772
275.6,0.7773846333
275.5,-0.5270663333
275.4,0.0562696733
275.3,0.3631737333
275.2,-0.5802726667
275.1,-0.9281343333
275,1.102291
274.9,0.7715266667
274.8,0.7081053333
274.7,-0.005582333
274.6,-1.122131333
274.5,-0.0238863333
274.4,0.0476586667
274.3,-0.24297
274.2,0.8284888
274.1,0.298867
274,2.004819
273.9,-0.0307763333
273.8,-0.245796667
273.7,-0.3653177666
273.6,-0.234019333
273.5,1.163768
273.4,-0.5148709997
273.3,-0.3505407666
273.2,0.402645877
273.1,0.0468924333
273,0.5521576666
272.9,-0.570205334
272.8,-0.8922473333
272.7,0.1715106663
272.6,-0.3970650003
272.5,-0.7090406666
272.4,0.118071334
272.3,-0.7344546663
272.2,-0.244485667
272.1,0.922700667
272,-1.0566426
271.9,0.584092
271.8,0.0039996667
271.7,-1.104756666
271.6,-0.9841209667
271.5,-0.3154366663
271.4,-0.196620033
271.3,0.2485600333
271.2,-0.8669763
271.1,-0.620667
271,-1.936336763
270.9,-0.8806247333
270.8,0.116907967
270.7,0.200848
270.6,-1.379930364
270.5,-0.1987364
270.4,0.381659333
270.3,0.7885323333
270.2,-0.800057
270.1,0.5650016663
270,-1.117532
269.9,0.37191
269.8,-0.4368095667
269.7,-0.8445376667
269.6,1.062517333
269.5,1.716291
269.4,-0.1019276667
269.3,0.2885409
269.2,-0.0874283333
269.1,-0.0324134667
269,0.021065834
268.9,-1.224238974
268.8,-0.048755
268.7,1.108100334
268.6,-0.6466428667
268.5,-1.637381233
268.4,0.1968926666
268.3,0.5970769997
268.2,1.167393333
268.1,0.039513
268,1.200378667
267.9,0.5520474
267.8,0.7110169333
267.7,0.0080847334
267.6,-0.679231
267.5,-1.015359667
267.4,-0.3275276667
267.3,-0.7284366667
267.2,-0.0301657666
267.1,-0.2622593333
267,0.51718444
266.9,-0.3549603334
266.8,-0.181486334
266.7,-0.6534846666
266.6,-0.1989031
266.5,-0.9442993333
266.4,-0.4796613334
266.3,-0.366587667
266.2,-0.016181
266.1,0.0183637666
266,-0.9903400003
265.9,0.2148326667
265.8,-0.3123301663
265.7,-0.164689
265.6,-0.0677710666
265.5,-1.472842667
265.4,-0.1549165667
265.3,-2.32176
265.2,0.3777045667
265.1,-0.0282136
265,0.0389325334
264.9,0.449728
264.8,-0.2701096666
264.7,-0.8232236663
264.6,-0.86602
264.5,-0.9033502667
264.4,0.129306
264.3,-1.156324667
264.2,0.1563146667
264.1,0.4768816666
264,-0.992717967
263.9,0.2245337333
263.8,-1.041155
263.7,-0.615993
263.6,-0.8598643337
263.5,-1.762810266
263.4,-1.063126033
263.3,0.2876048663
263.2,0.6731196667
263.1,-0.803074
263,-0.4879106666
262.9,-0.5937763334
262.8,-0.6170276667
262.7,0.4534860003
262.6,-2.08898956
262.5,0.408278
262.4,-1.5357622
262.3,-0.5093523
262.2,0.0432113333
262.1,-1.751144334
262,-0.5229770334
261.9,-0.5164793666
261.8,-0.2943362
261.7,0.1384902333
261.6,0.7299373333
261.5,0.821953
261.4,0.8745290003
261.3,1.036403667
261.2,-0.3572216333
261.1,0.3923859997
261,0.2762596667
260.9,-0.7922487066
260.8,-1.270726667
260.7,0.3268489667
260.6,-0.3487176666
260.5,-0.0469962333
260.4,0.5673756667
260.3,-1.0598299
260.2,-0.091576434
260.1,0.1298146667
260,0.123266
259.9,0.36104804
259.8,0.7925950003
259.7,-0.974812333
259.6,-0.530709
259.5,0.4279000333
