TITLE,ECTC_PROTEIN&ADDITIVE_928,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,17:49:36,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [molar ellipticity],,
Y2UNITS,HT [V] (did not change),,
Y3UNITS,ABSORBANCE (did not change),,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,2.00528,,
MAXY,53.38551,,
MINY,-55.11642,,
XYDATA,,,
292.8,296424.256,206.898,0.128386
292.7,388154.1667,206.364,0.1207
292.6,191726.3393,206.313,0.119965
292.5,768349.7024,206.577,0.12377
292.4,1075601.786,206.373,0.12083
292.3,270688.0952,206.983,0.129609
292.2,367652.2619,207.044,0.130489
292.1,190968.4643,205.873,0.113602
292,581304.0179,207.03,0.130277
291.9,675220.2381,205.986,0.115239
291.8,346260.8631,206.032,0.11591
291.7,701315.1786,205.799,0.112538
291.6,828845.2381,206.554,0.123427
291.5,61229.03274,206.768,0.126511
291.4,522980.506,205.52,0.108508
291.3,713669.6429,206.483,0.122415
291.2,282987.3512,205.463,0.107672
291.1,654802.0833,206.483,0.122415
291,533423.75,206.503,0.122692
290.9,364213.0952,206.373,0.12083
290.8,416662.7232,206.475,0.1223
290.7,142590.7738,206.717,0.125777
290.6,457638.244,206.116,0.11712
290.5,36567.05357,206.771,0.12656
290.4,602240.4762,207.01,0.13
290.3,452320.5357,206.431,0.121664
290.2,356994.5982,206.71,0.125679
290.1,568447.9167,206.647,0.124766
290,346914.3006,206.309,0.119899
289.9,-65139.21131,206.776,0.126625
289.8,427279.7619,207.548,0.137732
289.7,544008.0357,207.541,0.137618
289.6,791215.7738,207.709,0.14004
289.5,487017.1131,206.521,0.122953
289.4,343105.9524,207.088,0.131124
289.3,277912.3512,206.396,0.121157
289.2,206442.2619,207.383,0.135357
289.1,649658.3333,207.19,0.13259
289,179246.5774,206.936,0.128925
288.9,633419.0476,206.557,0.123476
288.8,327419.9256,207.016,0.130082
288.7,274315.625,207.18,0.132444
288.6,364275.2976,206.661,0.124978
288.5,398129.6131,207.05,0.13057
288.4,493628.4226,207.535,0.137537
288.3,494377.381,207.141,0.131874
288.2,731191.9643,206.839,0.127539
288.1,521376.4881,206.86,0.127832
288,366169.7917,207.258,0.133567
287.9,826879.1667,207.435,0.136106
287.8,718372.7679,206.806,0.127066
287.7,593925.1488,207.363,0.135064
287.6,248021.5774,207.783,0.141097
287.5,236628.5119,207.224,0.133079
287.4,346876.0417,206.716,0.125761
287.3,256218.0655,206.743,0.126152
287.2,507791.5179,206.958,0.129251
287.1,191472.1726,207.368,0.135146
287,274528.5714,207.246,0.133388
286.9,567720.6845,207.255,0.133518
286.8,379369.7917,207.552,0.137781
286.7,402421.4286,206.508,0.122774
286.6,594213.244,207.521,0.137342
286.5,625654.7619,207.294,0.134072
286.4,253610.5655,206.699,0.125516
286.3,232693.6012,207.462,0.136496
286.2,542973.2143,207.176,0.132378
286.1,587988.5417,206.976,0.129511
286,610305.0595,207.147,0.131971
285.9,148266.369,206.965,0.129348
285.8,239790.1042,207.657,0.139293
285.7,113082.2917,207.386,0.135406
285.6,486719.7917,207.011,0.130016
285.5,207428.7202,206.576,0.123753
285.4,127712.9464,206.897,0.12837
285.3,511531.25,207.088,0.131124
285.2,571272.0238,207.211,0.132883
285.1,391758.631,207.221,0.13303
285,464939.3452,207.602,0.138496
284.9,361442.2619,206.605,0.124162
284.8,211854.1667,206.948,0.129104
284.7,51308.63095,207.102,0.13132
284.6,582962.5,207.342,0.134771
284.5,507608.9286,207.178,0.132411
284.4,200115.878,207.403,0.13565
284.3,464216.9643,206.775,0.126609
284.2,236081.8452,207.909,0.142899
284.1,275830.8036,207.701,0.139927
284,712210.5655,207.095,0.131222
283.9,-40043.45238,206.436,0.121729
283.8,251616.8155,207.064,0.130766
283.7,231175.2976,206.277,0.119441
283.6,601365.9226,206.829,0.127392
283.5,462898.2143,207.362,0.135048
283.4,37643.75,206.86,0.127832
283.3,157561.3095,206.683,0.125288
283.2,201953.869,207.533,0.137505
283.1,287352.8274,207.588,0.138301
283,526538.5417,207.564,0.13796
282.9,191468.8988,207.39,0.135455
282.8,378285.2976,207.262,0.133616
282.7,369968.1548,207.27,0.13373
282.6,472798.3631,207.469,0.136594
282.5,570717.8571,207.632,0.138935
282.4,273161.1607,207.74,0.140479
282.3,136583.631,207.82,0.141633
282.2,-369093.244,207.032,0.13031
282.1,283152.0833,206.911,0.128566
282,458066.8155,207.76,0.140772
281.9,477843.006,207.331,0.134609
281.8,161840.9821,207.464,0.136512
281.7,903473.2143,207.248,0.133421
281.6,272218.3036,207.142,0.13189
281.5,343408.7798,206.913,0.128599
281.4,476992.4107,207.34,0.134739
281.3,408909.2262,207.987,0.14402
281.2,377720.5357,207.417,0.135846
281.1,197148.0655,207.851,0.142071
281,467031.6339,207.044,0.130489
280.9,-53401.4881,207.93,0.143208
280.8,270937.3512,207.277,0.133828
280.7,291037.5,207.025,0.130212
280.6,256529.0179,207.249,0.133437
280.5,553227.2321,206.874,0.128044
280.4,185286.3095,207.002,0.129886
280.3,277623.3631,208.048,0.144896
280.2,190628.4226,207.321,0.134462
280.1,136594.9405,207.32,0.134446
280,537599.4048,207.179,0.132427
279.9,575712.2024,207.612,0.138643
279.8,446941.369,207.278,0.133844
279.7,610293.7351,207.594,0.138383
279.6,341624.9554,206.919,0.12868
279.5,339188.0952,207.656,0.139277
279.4,-64384.375,207.377,0.135276
279.3,413181.994,208.27,0.148075
279.2,-26222.47024,207.439,0.136154
279.1,368915.4762,207.747,0.140577
279,-259881.3988,207.019,0.13013
278.9,281951.4881,207.648,0.139163
278.8,452275.1488,207.098,0.131255
278.7,516763.3929,206.922,0.128729
278.6,150002.9315,207.069,0.130847
278.5,327982.1429,207.782,0.14108
278.4,497375.1488,206.779,0.126674
278.3,197312.7976,207.564,0.13796
278.2,416611.4583,208.127,0.146032
278.1,186252.9762,206.751,0.126266
278,-25495.43155,208.006,0.144296
277.9,-248745.6845,207.904,0.142835
277.8,584229.6131,207.994,0.144117
277.7,441085.8631,207.281,0.133893
277.6,132412.6488,207.852,0.142087
277.5,81047.76786,207.597,0.138431
277.4,263508.631,207.504,0.137098
277.3,209463.3929,207.19,0.13259
277.2,159443.3036,207.89,0.142623
277.1,-7822.619048,207.9,0.14277
277,466059.5238,208.019,0.144474
276.9,315278.2738,208.344,0.149129
276.8,257290.625,207.393,0.135504
276.7,403267.2768,207.756,0.140707
276.6,551541.6667,207.096,0.131238
276.5,716528.4226,207.197,0.132688
276.4,-70549.38988,207.794,0.141259
276.3,396523.9583,207.479,0.13674
276.2,619668.75,207.052,0.130603
276.1,372412.4107,207.509,0.137163
276,66245.86458,206.836,0.12749
275.9,81301.78571,207.379,0.135292
275.8,339882.1429,207.769,0.140902
275.7,595135.5655,208.44,0.150507
275.6,523472.0238,207.164,0.132216
275.5,481929.4643,208.056,0.14501
275.4,645200.8929,207.544,0.137667
275.3,332459.2262,207.594,0.138383
275.2,528695.2381,208.233,0.14754
275.1,854998.3631,207.713,0.140089
275,536471.503,208.161,0.146519
274.9,154935.119,207.295,0.134088
274.8,301013.3929,207.266,0.133681
274.7,430918.75,207.457,0.136415
274.6,340712.3512,207.426,0.135976
274.5,392747.0238,207.203,0.132769
274.4,287634.0774,207.403,0.13565
274.3,433037.6488,207.21,0.132867
274.2,-170346.7262,207.218,0.132981
274.1,-10330.50595,207.607,0.138578
274,345243.4524,206.958,0.129251
273.9,-53281.96429,207.036,0.130375
273.8,125949.7024,205.889,0.113832
273.7,232134.8363,207.04,0.130424
273.6,626288.0952,207.096,0.131238
273.5,542203.2292,208.265,0.147994
273.4,-16052.91667,206.445,0.121859
273.3,273529.2054,207.172,0.132329
273.2,250894.3452,207.783,0.141097
273.1,132968.006,206.767,0.126495
273,290616.5179,207.861,0.142217
272.9,242968.75,207.133,0.131759
272.8,493213.244,208.521,0.151657
272.7,548951.6369,207.836,0.14186
272.6,438544.1964,207.773,0.14095
272.5,503667.2619,207.04,0.130424
272.4,58190.02976,207.386,0.135406
272.3,584116.9643,207.178,0.132411
272.2,-78675.40179,207.645,0.139114
272.1,454070.2381,207.658,0.139309
272,18382.44048,207.657,0.139293
271.9,-26039.73214,207.866,0.142282
271.8,93329.01786,207.249,0.133437
271.7,509559.2262,208.069,0.145188
271.6,67467.70833,207.68,0.139618
271.5,560052.8274,208.018,0.144458
271.4,149217.2619,207.794,0.141259
271.3,-170255.2083,208.005,0.144279
271.2,11134.22619,207.524,0.137374
271.1,139038.5417,207.186,0.132525
271,573021.875,207.89,0.142623
270.9,611679.3155,207.844,0.141974
270.8,100149.8958,208.127,0.146032
270.7,166852.4405,207.452,0.13635
270.6,10755.3869,208.08,0.145351
270.5,-191878.4077,207.589,0.138318
270.4,320839.881,208.258,0.147897
270.3,181234.6726,207.68,0.139618
270.2,118517.7083,207.59,0.138334
270.1,635108.7054,207.546,0.1377
270,357294.8958,207.875,0.142412
269.9,178300,208.576,0.152451
269.8,128888.3929,208.064,0.145123
269.7,-194899.5833,208.352,0.149243
269.6,412521.7262,207.317,0.134413
269.5,389314.7321,208.668,0.153762
269.4,-180202.6786,208.09,0.145496
269.3,644698.2143,208.378,0.149615
269.2,551735.3423,208.958,0.157904
269.1,566185.5655,207.614,0.138675
269,423662.6488,208.036,0.144718
268.9,342078.125,208.429,0.150345
268.8,180589.0923,208.995,0.158438
268.7,175911.9048,208.428,0.150329
268.6,347867.4107,208.061,0.145075
268.5,-107845.0893,207.503,0.137082
268.4,-396183.631,208.303,0.148546
268.3,9276.994048,207.717,0.140154
268.2,233704.1667,208.612,0.152969
268.1,192373.5119,208.282,0.148238
268,-111246.8095,208.194,0.146989
267.9,133249.5536,208.254,0.147848
267.8,457304.7619,208.053,0.144961
267.7,172459.3601,208.99,0.158357
267.6,349404.9107,208.319,0.148773
267.5,-240696.7262,208.352,0.149243
267.4,-121140.0298,208.824,0.155996
267.3,279522.0238,208.931,0.157516
267.2,-63229.7619,207.928,0.143175
267.1,35392.09821,208.019,0.144474
267,550895.2381,208.568,0.152337
266.9,93651.04167,209.097,0.159893
266.8,252547.0238,208.398,0.149907
266.7,-36972.02381,208.437,0.150458
266.6,483356.2649,208.803,0.155688
266.5,142754.6131,207.861,0.142217
266.4,405451.7857,208.986,0.158309
266.3,157815.0298,207.927,0.143159
266.2,189055.2217,208.129,0.146048
266.1,175794.7917,208.28,0.148221
266,496056.5476,208.716,0.154442
265.9,94013.9881,208.205,0.147135
265.8,166895.0893,208.546,0.152013
265.7,420062.6488,209.087,0.159747
265.6,142527.4256,208.355,0.149291
265.5,67375.35714,208.829,0.15606
265.4,124646.8304,209.088,0.159763
265.3,189795.0893,208.561,0.15224
265.2,-94244.79167,208.478,0.151042
265.1,5318.89881,209.025,0.158858
265,557844.4792,208.972,0.158098
264.9,22230.80357,209.009,0.158632
264.8,85084.52381,208.499,0.151349
264.7,369818.3036,209.364,0.163689
264.6,543239.5833,208.277,0.148173
264.5,299018.4375,207.739,0.140463
264.4,-181006.3988,209.172,0.160959
264.3,-239467.8571,209.079,0.159634
264.2,579391.9643,208.235,0.147573
264.1,5089.880952,209.135,0.160426
264,212258.378,209.159,0.160765
263.9,-16578.85417,209.206,0.161444
263.8,773710.119,209.16,0.160781
263.7,156080.7143,209.035,0.159004
263.6,403891.369,209.092,0.159812
263.5,616165.7292,208.999,0.158486
263.4,332444.6429,209.045,0.159149
263.3,94751.78571,210.072,0.173765
263.2,209298.0357,210.249,0.176276
263.1,-13616.51786,209.275,0.162429
263,615530.8036,208.782,0.155397
262.9,55637.90179,208.823,0.155979
262.8,-17019.04762,209.79,0.169754
262.7,392566.6667,210.402,0.178447
262.6,-88501.4881,209.25,0.162074
262.5,-349692.4851,209.557,0.166448
262.4,23026.4881,210.235,0.176083
262.3,132075.8929,209.623,0.167384
262.2,365768.3036,209.528,0.166029
262.1,179423.5119,209.403,0.164254
262,13951.04167,209.705,0.168545
261.9,447091.2649,209.62,0.167335
261.8,-50521.27976,209.634,0.167545
261.7,242649.7024,210.23,0.176018
261.6,312688.244,208.814,0.15585
261.5,-366348.6607,209.802,0.169931
261.4,-16289.58333,210.123,0.174489
261.3,125217.2619,210.04,0.173314
261.2,361604.7619,209.841,0.170479
261.1,48323.87946,210.025,0.173105
261,-80380.08571,209.529,0.166045
260.9,58328.86905,209.781,0.169625
260.8,174878.4226,209.519,0.1659
260.7,217058.4821,209.968,0.172284
260.6,262014.2857,209.897,0.171285
260.5,325470.2381,210.732,0.183139
260.4,149348.5119,210.246,0.176244
260.3,-249165.7262,210.09,0.174022
260.2,211908.9286,209.888,0.171156
260.1,376220.3869,210.135,0.174666
260,183447.4702,210.345,0.177643
259.9,440128.125,210.524,0.180183
259.8,-274511.4583,209.663,0.167948
259.7,-294600.744,209.759,0.169319
259.6,407864.1369,210.269,0.176565
259.5,-884.8214286,210.031,0.173185
259.4,-84668.30357,210.724,0.183027
259.3,139463.8095,210.209,0.175712
259.2,75347.47024,210.787,0.18391
259.1,490216.369,210.722,0.182995
259,-492.1130952,210.376,0.178077
