TITLE,KMGM_BUFFER_928_Averages,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,15:01:07,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,1.54704,,
MAXY,6.02539,,
MINY,-5.83343,,
XYDATA,,,
311.6,1.520346667,207.388,0.135428
311.5,0.672642,207.828,0.1417263333
311.4,1.168073,207.695,0.1398343333
311.3,0.9862883333,207.8883333,0.1426056667
311.2,0.75383,207.7936667,0.1412516667
311.1,0.7185826667,207.71,0.1400496667
311,1.9963,208.3323333,0.14896
310.9,1.107780667,207.9353333,0.1432776667
310.8,1.101421333,207.7993333,0.1413223333
310.7,1.181383,207.6423333,0.1390806667
310.6,2.614653333,207.8726667,0.142362
310.5,2.19648,207.9993333,0.1441863333
310.4,1.154380667,207.8283333,0.141746
310.3,0.556422,207.588,0.1382986667
310.2,1.498694667,207.9253333,0.1431366667
310.1,1.274052,208.0533333,0.1449636667
310,1.342162333,208.0516667,0.1449356667
309.9,0.4688506,208.0093333,0.144338
309.8,1.0949804,207.8163333,0.141571
309.7,1.949039,207.9706667,0.1437856667
309.6,1.105486333,207.9136667,0.142963
309.5,1.687946667,207.8093333,0.1414673333
309.4,0.9123913333,208.055,0.1449933333
309.3,1.192671667,207.6686667,0.1394513333
309.2,1.967273333,208.0023333,0.144218
309.1,0.6678083333,207.889,0.1426176667
309,0.448726,207.7326667,0.1403696667
308.9,0.6251233333,207.2183333,0.1329783333
308.8,0.726845,207.7623333,0.1407986667
308.7,2.3051,207.4413333,0.136197
308.6,1.803486667,207.61,0.1386143333
308.5,1.0792198,207.7376667,0.1404373333
308.4,1.692739333,207.7656667,0.1408386667
308.3,1.341025,207.2626667,0.1336223333
308.2,1.339862333,207.8243333,0.1416856667
308.1,1.302849667,207.3603333,0.1350223333
308,1.081354333,207.891,0.142644
307.9,0.8108315,207.644,0.139102
307.8,1.58255,207.4816667,0.1367713333
307.7,1.508823333,207.5876667,0.1382886667
307.6,1.154672333,207.411,0.1357573333
307.5,1.185399333,207.6863333,0.1397083333
307.4,1.851019,207.7926667,0.1412356667
307.3,1.803256667,207.212,0.1328936667
307.2,0.6297456667,207.7263333,0.140283
307.1,0.04858166667,207.2903333,0.1340286667
307,2.32329,207.279,0.1338503333
306.9,0.9005316667,207.315,0.1343666667
306.8,0.01201633333,207.5106667,0.137185
306.7,1.079171,208.255,0.1478453333
306.6,0.8754856667,207.6716667,0.139493
306.5,0.2973143333,207.5613333,0.137916
