TITLE,ds + JL Protein and buffer,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,15:32:57,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,-0.24368,,
MAXY,47.00092,,
MINY,-74.42773,,
XYDATA,,,
293.7,-0.856802667,207.724,0.140252
293.6,-1.138958667,206.912,0.128582
293.5,-1.595139333,207.362,0.135048
293.4,-2.663291667,208.026,0.144571
293.3,-1.676697333,208.185,0.146859
293.2,-0.653122333,209.21,0.161492
293.1,-1.327780333,207.308,0.134283
293,-2.367124,207.763,0.140804
292.9,-1.0245188,207.664,0.13939
292.8,-1.697824733,208.283,0.148254
292.7,-1.581969477,208.019,0.144474
292.6,-1.455136333,208.05,0.144928
292.5,-0.916786,207.203,0.132769
292.4,-0.844032667,208.135,0.146145
292.3,-0.214690233,207.215,0.132948
292.2,-0.280828333,207.887,0.142591
292.1,-1.791234667,208.176,0.14673
292,-1.747669667,207.431,0.136041
291.9,-2.582429333,207.941,0.143354
291.8,-1.639548,205.937,0.114535
291.7,-0.926272667,207.129,0.131711
291.6,-0.177642333,206.343,0.120389
291.5,-0.462197667,207.35,0.134885
291.4,-2.056610333,207.007,0.129951
291.3,-1.441252667,206.78,0.126691
291.2,-2.128563333,207.407,0.135699
291.1,-0.560268,206.869,0.127963
291,-1.516068667,207.738,0.140447
290.9,-1.717768,208.19,0.146924
290.8,-0.936231667,208.504,0.151414
290.7,-1.66679,207.886,0.142574
290.6,-1.133667,207.75,0.140625
290.5,-2.422846667,207.071,0.13088
290.4,-0.836320333,206.887,0.128223
290.3,-0.311325,207.658,0.139309
290.2,-0.566653333,208.095,0.145561
290.1,-2.044960967,207.987,0.14402
290,-1.051142,207.973,0.143825
289.9,-0.046811867,207.166,0.132232
289.8,-1.918215333,208.413,0.150118
289.7,-1.685988,208.475,0.151009
