TITLE,CC.SJ.9_28_22_PHOSPHATEBUFFER_CONTROL,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,13:58:08,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,-0.19391,,
MAXY,6.42178,,
MINY,-3.32288,,
XYDATA,,,
297.3,1.461243,206.781,0.126707
297.2,0.1810193333,206.489,0.122496
297.1,1.404817,206.606,0.124178
297,1.137236333,207.085,0.131075
296.9,0.4329938333,206.273,0.119376
296.8,0.5496986667,206.329,0.120193
296.7,1.122796667,206.764,0.126462
296.6,0.188895,206.116,0.11712
296.5,0.2359451,207.025,0.130212
296.4,0.2168996667,206.953,0.129169
296.3,1.442229333,206.785,0.126756
296.2,0.4074623333,206.583,0.123851
296.1,0.294324,206.345,0.120422
296,1.905719,206.843,0.127587
295.9,0.7532076667,206.523,0.122986
295.8,0.7480523333,206.858,0.127816
295.7,1.203671467,206.24,0.118902
295.6,-0.0002923333333,206.176,0.117987
295.5,0.4412460333,206.489,0.122496
295.4,1.414634667,206.966,0.129365
295.3,0.86315,206.15,0.117611
295.2,0.7368139333,206.803,0.127017
295.1,0.2651865333,207.026,0.130228
295,0.54326,206.321,0.120079
294.9,2.296033333,205.884,0.113766
294.8,1.383233333,206.188,0.11815
294.7,1.018458667,206.082,0.116629
294.6,0.525376,206.116,0.11712
294.5,0.9273113333,206.832,0.127441
294.4,0.1549953333,206.792,0.126854
294.3,1.166498,206.812,0.127147
294.2,0.5913,205.941,0.114584
294.1,1.46784,205.951,0.114732
294,0.2770843333,206.097,0.116842
293.9,1.70601,206.513,0.122839
293.8,0.47652,206.341,0.120357
293.7,0.109953,206.23,0.118755
293.6,0.243026,206.644,0.124733
293.5,0.0851631,206.42,0.1215
293.4,1.151254667,206.838,0.127522
293.3,-0.2597766667,206.406,0.121304
293.2,0.5100078667,206.699,0.125516
293.1,0.8380763333,206.258,0.119164
293,1.491734,206.364,0.1207
292.9,1.42346,206.316,0.119997
292.8,-0.5577753333,206.199,0.118314
292.7,0.6956643333,206.839,0.127539
292.6,1.74423,206.227,0.118722
292.5,1.215761333,206.148,0.117578
292.4,0.945745,205.755,0.111899
292.3,-0.002950966667,206.202,0.118363
292.2,0.7444946667,205.976,0.115092
292.1,1.201002,206.12,0.117169
292,1.09056,205.586,0.109458
291.9,0.263499,205.423,0.107098
291.8,0.5843631333,205.642,0.110261
291.7,0.96542,206.049,0.116155
291.6,1.535601667,205.765,0.112047
291.5,0.838831,205.239,0.10444
291.4,1.079489,206.14,0.117463
291.3,0.6609809067,205.537,0.108754
291.2,1.066829667,204.598,0.0951396
291.1,0.7939753333,204.848,0.0987739
291,0.1579323333,205.031,0.101419
290.9,0.9496833333,206.069,0.116433
290.8,0.8567103333,205.34,0.1059
290.7,0.745939,205.941,0.114584
290.6,0.362041,205.91,0.114143
290.5,0.443023,206.59,0.12395
290.4,0.8335255333,205.374,0.106393
290.3,-0.789947,206.013,0.115632
290.2,1.842463333,205,0.100976
290.1,-0.165202,205.801,0.112571
290,1.0641105,206.183,0.118085
289.9,0.6514786667,206.814,0.12718
289.8,-0.07508566667,206.545,0.123297
289.7,0.7755002,205.161,0.103308
289.6,0.4714263333,205.933,0.11447
289.5,1.564365,207.189,0.132574
289.4,0.8975416667,206.006,0.115534
289.3,0.8402026667,205.689,0.11095
289.2,0.9672023333,205.768,0.112096
289.1,0.7152023333,205.621,0.109967
289,0.6422656667,206.038,0.115991
288.9,0.4530004,205.892,0.11388
288.8,1.722767333,206.576,0.123753
288.7,0.7699176667,205.365,0.106261
288.6,1.068699,205.689,0.11095
288.5,0.432242,205.306,0.105408
288.4,1.023268333,207.166,0.132232
288.3,0.6743586667,206.255,0.119115
288.2,0.3112463333,206.296,0.119719
288.1,0.2880676667,206.281,0.119491
288,1.088588333,206.431,0.121664
287.9,0.7847776667,205.742,0.111719
287.8,-0.09414766667,206.366,0.120716
287.7,0.6538656667,206.424,0.121565
287.6,1.226999667,205.259,0.104719
287.5,1.165411867,205.048,0.101666
287.4,1.0001188,206.523,0.122986
287.3,0.9740493333,206.213,0.11851
287.2,0.8694346667,206.006,0.115534
287.1,1.008526,205.695,0.111032
287,0.352449,206.502,0.122676
286.9,0.2196543333,206.112,0.117055
286.8,0.7837263333,205.849,0.113259
286.7,0.5792596667,206.026,0.115812
286.6,0.5836106667,205.986,0.115239
286.5,0.556963,205.632,0.11013
286.4,0.4216086667,205.643,0.110278
286.3,1.231146,205.629,0.110081
286.2,-0.3301076667,206.096,0.116826
286.1,0.8438743333,206.831,0.127424
286,0.651575,206.171,0.117905
285.9,0.6794116667,206.026,0.115812
285.8,-0.093171,206.18,0.118036
285.7,0.499878,205.606,0.109753
285.6,0.916604,206.247,0.119
285.5,0.4649113333,206.368,0.120749
285.4,0.7877953533,205.485,0.108
285.3,0.3749137,206.027,0.115828
285.2,0.9766883333,207.01,0.13
285.1,1.11984,205.521,0.108524
285,0.9759016667,205.94,0.114568
284.9,0.8494666667,205.907,0.114093
284.8,0.9216026667,206.015,0.115664
284.7,1.512763333,206.081,0.116613
284.6,0.7869146667,206.581,0.123819
284.5,0.7150766667,206.31,0.119915
284.4,0.12840455,206.014,0.115648
284.3,0.3233520167,205.793,0.112456
284.2,0.9584873333,205.843,0.113177
284.1,0.5769993333,205.474,0.107836
284,0.9373836667,206.173,0.117938
283.9,1.263006667,206.097,0.116842
283.8,0.2352733333,205.724,0.111457
283.7,0.3575268,205.74,0.111687
283.6,-0.04800233333,206.168,0.117872
283.5,1.212495333,206.086,0.116679
283.4,0.2381744,206.703,0.125581
283.3,0.3264213333,206.061,0.116319
283.2,0.7294246667,205.362,0.106212
283.1,0.9004406667,205.447,0.107442
283,1.544456667,206.54,0.123231
282.9,0.6063348353,206.251,0.119066
282.8,0.9470633333,205.365,0.106261
282.7,0.4843113333,206.24,0.118902
282.6,0.759525,205.736,0.111621
282.5,1.2867507,206.291,0.119638
282.4,0.4143116,206.843,0.127587
282.3,0.737144,205.919,0.114273
282.2,1.159076,205.941,0.114584
282.1,0.841731,204.683,0.0963734
282,0.5134300667,205.852,0.113308
281.9,1.317062,206.039,0.116008
281.8,-0.05985286667,205.912,0.114175
281.7,0.845221,204.919,0.099793
281.6,0.01558266667,206.099,0.116875
281.5,1.711906667,207.127,0.131678
281.4,1.33223,206.061,0.116319
281.3,0.68965,206.54,0.123231
281.2,0.5565644667,206.513,0.122839
281.1,0.7710056667,205.666,0.110622
281,2.074353333,205.819,0.112833
280.9,0.43848,205.672,0.110704
280.8,0.1365763333,205.598,0.109639
280.7,0.54725,205.788,0.112374
280.6,0.6937269,206.844,0.127604
280.5,1.500443333,205.087,0.10224
280.4,0.378274,205.575,0.109294
280.3,0.9670496667,205.98,0.115157
280.2,1.379186333,207.262,0.133616
280.1,0.8833683333,205.739,0.11167
280,0.9606601667,205.823,0.112882
279.9,0.9278344333,205.722,0.111424
279.8,0.2245141333,205.158,0.103258
279.7,0.2110583333,205.749,0.111818
