TITLE,KMGM_BUFFER&PROTEIN_928_Averages,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,15:18:43,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,1.27862,,
MAXY,49.95761,,
MINY,-56.57431,,
XYDATA,,,
291.2,1.296549,206.6976667,0.1254936667
291.1,1.420453333,206.121,0.117185
291,1.197985,206.0736667,0.1165023333
290.9,1.84625,206.5286667,0.1230616667
290.8,0.9589686667,206.8583333,0.1278116667
290.7,0.5148615333,206.1896667,0.1181686667
290.6,1.018621933,206.3983333,0.1211866667
290.5,1.279305667,206.6953333,0.1254613333
290.4,0.4037493333,206.4543333,0.1219826667
290.3,1.089385667,206.706,0.1256173333
290.2,1.225591453,207.0276667,0.130245
290.1,1.753437667,206.8816667,0.1281523333
290,0.5076826667,206.522,0.1229683333
289.9,0.9427546667,206.9163333,0.12865
289.8,1.592481667,206.6783333,0.1252216667
289.7,2.028426667,206.5843333,0.123866
289.6,2.414886667,206.5746667,0.1237296667
289.5,1.494307667,207.2106667,0.1328753333
289.4,1.303718,206.727,0.125918
289.3,1.008029667,207.1946667,0.132646
289.2,0.966322,207.0253333,0.130213
289.1,1.205442333,206.9443333,0.1290426667
289,1.115649667,206.9746667,0.1294826667
288.9,0.7859573333,207.2726667,0.13377
288.8,1.382964333,207.0023333,0.1298856667
288.7,0.5443223333,206.7446667,0.1261723333
288.6,0.07643866667,207.1966667,0.1326823333
288.5,1.713983333,206.8563333,0.1277816667
288.4,1.657139667,207.0003333,0.129853
288.3,0.7087466667,206.5363333,0.1231723333
288.2,1.302321667,206.976,0.129504
288.1,0.6147405,207.0326667,0.1303256667
288,1.135298,206.8426667,0.127587
287.9,1.350613333,207.1593333,0.1321416667
287.8,2.304103333,207.215,0.132945
287.7,0.6775474,207.1656667,0.1322316667
287.6,1.693716667,207.3446667,0.1347966667
287.5,1.093272667,207.38,0.1353133333
287.4,1.444008667,207.3483333,0.1348536667
287.3,1.638073333,206.864,0.127889
287.2,1.499099333,206.957,0.1292183333
287.1,1.497662667,207.0453333,0.130505
287,0.137207,207.3246667,0.134521
286.9,1.257912333,206.667,0.1250516667
286.8,1.206153667,207.102,0.131312
286.7,1.48521,207.2286667,0.1331436667
286.6,0.6404613333,206.828,0.1273743333
286.5,1.986249333,207.0493333,0.130556
286.4,0.9454246667,207.293,0.1340653333
286.3,1.258389,207.0263333,0.1302333333
286.2,0.7200287333,207.2453333,0.1333746667
286.1,0.830123,207.439,0.136159
286,1.762606667,207.4276667,0.1360026667
285.9,1.697813333,206.892,0.1282976667
285.8,2.051536667,207.5633333,0.1379436667
285.7,0.6611896667,206.8083333,0.1270953333
285.6,1.229636,206.9143333,0.1286136667
285.5,0.5742676667,207.0396667,0.130418
285.4,1.161359333,206.748,0.12622
285.3,1.73778,207.0323333,0.1303046667
285.2,0.7421833333,207.3726667,0.135208
285.1,1.4451,207.622,0.1387786667
285,1.055795667,207.5536667,0.137796
284.9,0.27104,206.9336667,0.128893
284.8,1.042542667,207.462,0.1364866667
284.7,0.6779093333,207.3213333,0.134465
284.6,1.897586333,207.501,0.1370286667
284.5,0.7225356667,207.0083333,0.1299723333
284.4,1.165177667,207.1213333,0.1315886667
284.3,0.81075,207.1436667,0.1319206667
284.2,1.848747667,206.7313333,0.1259833333
284.1,0.828481,206.887,0.1282213333
284,0.9781766667,207.032,0.130313
283.9,0.84551,207.0366667,0.1303713333
283.8,0.8716276667,207.13,0.131719
283.7,0.6992100333,206.9433333,0.129003
283.6,1.375837333,206.8186667,0.1272343333
283.5,1.524146667,207.0813333,0.131013
283.4,1.530404,207.6563333,0.13928
283.3,1.240637,207.4296667,0.1360203333
283.2,2.06251,206.8516667,0.1277163333
283.1,1.047807,207.5263333,0.1374123333
283,1.182349667,207.3093333,0.134297
282.9,0.581173,208.035,0.144693
282.8,0.661353,207.326,0.1345373333
282.7,0.783771,207.4093333,0.1357313333
282.6,0.1926246667,206.931,0.1288636667
282.5,1.221917167,207.2603333,0.1335923333
282.4,1.060487667,207.3933333,0.1355036667
282.3,1.5617,207.1233333,0.1316213333
282.2,1.885075,207.0216667,0.1301623333
282.1,0.9606123333,207.2753333,0.1338013333
282,0.943794,207.4016667,0.1356216667
281.9,0.025809,207.0306667,0.130273
281.8,0.3635717667,207.0436667,0.1304696667
281.7,0.2341163333,208.1496667,0.1463476667
281.6,1.797052333,207.717,0.1401466667
281.5,1.420318667,207.4103333,0.1357463333
281.4,0.2083696667,206.9336667,0.12888
281.3,1.583181333,207.582,0.1382123333
281.2,0.5122183333,207.273,0.1337783333
281.1,1.616546667,207.0793333,0.1309906667
281,1.37186,207.049,0.130553
280.9,0.80305,207.5103333,0.1371733333
280.8,1.758102167,206.854,0.1277476667
280.7,0.4774686667,207.4216667,0.1359133333
280.6,0.643435,207.1953333,0.1326586667
280.5,0.514617,207.4663333,0.136531
280.4,1.740406667,207.5946667,0.1383936667
280.3,0.99725,207.8593333,0.1421813333
280.2,0.7343859333,207.4223333,0.1359146667
280.1,1.214137667,207.2353333,0.133235
280,0.8806053333,206.889,0.1282483333
279.9,1.371586667,207.3633333,0.1350726667
279.8,0.754029,207.604,0.1385273333
279.7,0.1774433,207.8246667,0.1416906667
279.6,1.220908333,206.951,0.1291456667
279.5,0.849957,207.474,0.1366633333
279.4,0.3518066667,207.4016667,0.135622
279.3,0.3508943333,207.5516667,0.13777
279.2,1.655937,207.589,0.138308
279.1,0.5418486667,207.4303333,0.1360346667
279,0.4466463333,207.98,0.143918
278.9,0.8862916667,207.2256667,0.1330896667
278.8,1.260008,207.116,0.1315183333
278.7,1.08647,206.7263333,0.1258883333
278.6,1.597123667,207.31,0.134292
278.5,0.7560609333,207.0676667,0.1308193333
278.4,0.692757,206.795,0.1268936667
278.3,1.23255,207.1596667,0.1321416667
