TITLE,Protein_AMSS
DATA TYPE,
ORIGIN,JASCO
OWNER,
DATE,22/09/27
TIME,14:37:36
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,CD [mdeg]
Y2UNITS,HT [V]
Y3UNITS,ABSORBANCE
FIRSTX,320
LASTX,190
NPOINTS,1301
FIRSTY,0.0788
MAXY,35.46646
MINY,-73.42445
XYDATA,
268.9,7640.32657
268.8,-6050.31537
268.7,1298.737163
268.6,-6244.836561
268.5,2921.780348
268.4,-115.0725369
268.3,4586.800504
268.2,7311.255166
268.1,2791.697652
268,1050.593558
267.9,-4219.124988
267.8,-8537.319698
267.7,701.836402
267.6,2733.386076
267.5,18130.52079
267.4,15064.89015
267.3,1808.48369
267.2,-8628.715731
267.1,9891.389112
267,4642.646159
266.9,963.8023265
266.8,595.7880091
266.7,9281.933709
266.6,-2473.703328
266.5,2070.83071
266.4,-13376.13356
266.3,8501.95591
266.2,4316.756953
266.1,14742.96343
266,7302.877865
265.9,2182.327514
265.8,2759.23335
265.7,-7726.671118
265.6,-3031.388642
265.5,1420.673929
265.4,3013.362971
265.3,9163.170094
265.2,-4215.200277
265.1,8002.818971
265,10072.85357
264.9,3482.376457
264.8,-544.9768765
264.7,901.2699843
264.6,-12086.84121
264.5,-2808.02321
264.4,-5147.269959
264.3,1509.395514
264.2,-1866.169231
264.1,11217.04717
264,-1475.275655
263.9,5394.651374
263.8,-2536.913046
263.7,6754.417986
263.6,4971.432591
263.5,-4235.074631
263.4,7020.716178
263.3,-3261.415881
263.2,13797.67417
263.1,-5976.462137
263,5673.863817
262.9,1071.204341
262.8,-9570.968673
262.7,-5176.96369
262.6,-6583.796075
262.5,-181.3305614
262.4,6262.522979
262.3,3692.437722
262.2,-1577.716652
262.1,-1921.694856
262,-5933.29778
261.9,2557.087323
261.8,-15429.6352
261.7,4831.223629
261.6,-5477.072115
261.5,10658.01163
261.4,-3369.285161
261.3,24070.03821
261.2,7063.050495
261.1,6853.254527
261,4340.233298
260.9,1479.731185
260.8,5004.878466
260.7,4917.201783
260.6,3981.662668
260.5,-2284.226837
260.4,3249.438196
260.3,-5152.917399
260.2,-4818.922296
260.1,9291.204377
260,7161.30058
259.9,2756.434961
259.8,6316.245585
259.7,12291.19397
259.6,8550.062242
259.5,-16287.85617
259.4,9413.351481
259.3,-326.9476772
259.2,2052.671599
259.1,1577.709867
259,-1358.129148
258.9,11930.65341
258.8,2726.919904
258.7,-485.0267965
258.6,5718.749321
258.5,-3172.427644
258.4,-3543.86503
258.3,805.030768
258.2,9052.444525
258.1,-4102.502515
258,6720.433828
257.9,-4735.898361
257.8,-7607.468734
257.7,3998.719657
257.6,6312.829754
257.5,2443.190865
257.4,14438.34316
257.3,2012.463496
257.2,-1061.614774
257.1,-9826.740959
257,9915.984993
256.9,7590.503796
256.8,14134.2182
256.7,5496.040685
256.6,1359.011433
256.5,-4491.241831
256.4,-13258.14118
256.3,6686.971443
256.2,5593.420019
256.1,-8421.62972
256,2617.241498
255.9,2747.422125
255.8,7139.69013
255.7,8023.843643
255.6,-1916.176332
255.5,8112.728069
255.4,9560.933553
255.3,-5546.365554
255.2,332.5860709
255.1,1352.535988
255,-13231.97342
254.9,6348.089505
254.8,14976.64126
254.7,5530.75763
254.6,-99.17737803
254.5,-4190.425722
