TITLE,Sample_JH_CW,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/27,,
TIME,15:51:47,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.96153,,
MAXY,23.78934,,
MINY,-56.33782,,
XYDATA,,,
290.2,3074.396574,205.149,0.103127
290.1,6127.118577,204.581,0.0948928
290,6210.685112,205.567,0.10918
289.9,6157.566535,205.039,0.101534
289.8,8281.791831,203.714,0.0822832
289.7,2058.832675,205.946,0.114666
289.6,2993.658762,204.644,0.0958141
289.5,3363.469038,205.363,0.106229
289.4,1936.011858,205.37,0.106327
289.3,1737.334651,205.406,0.106852
289.2,4164.445323,205.538,0.10877
289.1,4697.736495,205.436,0.107295
289,5886.160738,204.855,0.0988725
288.9,1398.164295,204.376,0.0919134
288.8,5020.528327,205.687,0.110917
288.7,4294.820817,204.717,0.0968668
288.6,3647.961792,204.426,0.092638
288.5,1759.640316,204.494,0.0936257
288.4,4237.619631,204.49,0.0935762
288.3,7355.99473,204.427,0.0926544
288.2,3135.613966,206.673,0.125141
288.1,3908.911726,206.582,0.123835
288,2967.545455,204.845,0.0987248
287.9,6547.293808,204.863,0.0989877
287.8,7336.255599,205.114,0.102618
287.7,3625.770751,204.754,0.0974096
287.6,1455.685112,204.616,0.0954028
287.5,5161.938472,205.779,0.112243
287.4,566.7417655,204.227,0.0897555
287.3,7958.469038,204.946,0.100187
287.2,5229.223979,205.768,0.112096
287.1,1410.679051,205.259,0.104719
287,1207.447958,205.507,0.108311
286.9,4063.001318,204.799,0.0980506
286.8,4021.69697,205.389,0.106606
286.7,2229.210804,205.418,0.107032
286.6,4590.6917,205.532,0.108672
286.5,3932.986825,205.649,0.110376
286.4,4037.351779,205.767,0.11208
286.3,7443.965744,204.999,0.100959
286.2,2425.620553,205.144,0.103061
286.1,6521.610013,205.592,0.10954
286,2895.642951,205.817,0.1128
285.9,4710.032938,205.123,0.10275
285.8,6220.903821,205.559,0.109065
285.7,1863.088274,205.361,0.106196
285.6,3351.486166,205.322,0.105638
285.5,3481.058103,205.186,0.103669
285.4,9162.438735,204.794,0.0979851
285.3,5143.661397,205.465,0.107705
285.2,3693.918314,205.604,0.109721
285.1,4012.044796,205.842,0.11316
285,347.5006588,205.601,0.109672
284.9,3316.463768,205.364,0.106245
284.8,3302.096179,206.095,0.116809
284.7,4634.794466,205.032,0.101436
284.6,1623.677207,205.286,0.105113
284.5,678.4255599,205.279,0.105014
284.4,5242.85639,204.905,0.0995957
284.3,27.83530962,205.408,0.106885
284.2,5173.222661,205.856,0.113357
284.1,3518.348748,205.297,0.105277
284,2337.724638,205.627,0.110049
283.9,6349.047431,205.487,0.108032
283.8,7453.662714,205.816,0.112784
283.7,-712.4677207,205.219,0.104145
283.6,1977.243742,205.618,0.109917
283.5,3442.298551,206.213,0.11851
283.4,5750.023715,205.427,0.107163
283.3,5225.391304,205.311,0.105474
283.2,1643.952174,205.987,0.115255
283.1,3057.613966,206.477,0.122317
283,1373.100132,205.901,0.114012
282.9,1962.998682,204.942,0.100138
282.8,2008.735178,205.771,0.112129
282.7,2181.006588,205.713,0.111294
282.6,2818.656126,205.229,0.104292
282.5,3194.126482,205.766,0.112063
282.4,4241.194993,206.088,0.116711
282.3,2254.731225,205.972,0.115043
282.2,3968.878788,205.571,0.109246
282.1,4450.343874,205.913,0.114192
282,2371.797497,204.581,0.0948928
281.9,7828.708827,205.214,0.104079
281.8,5251.761528,205.354,0.106097
281.7,5248.040843,205.81,0.112702
281.6,2007.403162,205.246,0.104539
281.5,8.4914361,206.093,0.116777
281.4,4877.143874,205.376,0.106425
281.3,3187.621871,205.189,0.103718
281.2,4498.076416,205.555,0.109016
281.1,4435.455863,205.727,0.11149
281,4920.715415,205.531,0.108656
280.9,1922.40448,205.781,0.112276
280.8,407.3299078,205.686,0.1109
280.7,1815.334651,205.703,0.111146
280.6,4508.089592,205.171,0.103455
280.5,-91.93662714,204.657,0.095995
280.4,1890.822266,205.378,0.106442
280.3,1837.996047,206.534,0.12315
280.2,503.0606061,206.222,0.118641
280.1,1476.517787,205.16,0.103291
280,4295.501976,204.733,0.0970971
279.9,194.2753623,206.713,0.125728
279.8,3452.981555,205.187,0.103685
279.7,-1513.637681,205.355,0.106114
279.6,6130.27668,205.509,0.108344
279.5,3873.262187,205.553,0.108983
279.4,5061.608696,205.542,0.108819
279.3,1945.384585,205.716,0.111343
279.2,5849.115942,206.039,0.116008
279.1,-909.9848485,205.112,0.102602
279,4787.633729,205.364,0.106245
278.9,3479.280632,205.416,0.106999
278.8,795.687747,205.779,0.112243
278.7,4480.123847,205.166,0.103373
278.6,338.6350461,205.923,0.114323
278.5,696.8155468,205.268,0.10485
278.4,1594.428195,205.465,0.107705
278.3,-1391.914361,205.682,0.110851
278.2,2953.013439,205.468,0.107754
278.1,7362.811594,205.756,0.111916
278,-890.0698287,205.86,0.113422
277.9,-643.8532279,206.299,0.119752
277.8,-2799.901291,205.485,0.108
277.7,5543.258235,205.998,0.115419
277.6,5775.546772,205.87,0.11357
277.5,-1515.803689,205.792,0.11244
277.4,8081.119895,206.645,0.124749
277.3,2564.003953,206.829,0.127392
277.2,2022.474572,205.808,0.112669
277.1,4814.704875,206.123,0.117218
277,4979.077602,206.234,0.118821
276.9,1271.874835,205.273,0.104932
276.8,3375.824769,205.115,0.102634
276.7,5974.750988,207.037,0.130391
276.6,1651.690382,205.711,0.111261
276.5,5832.568379,204.758,0.0974587
276.4,335.1831357,205.264,0.104801
276.3,1032.461133,206.049,0.116155
276.2,1949.155468,205.356,0.10613
276.1,3574.972332,205.303,0.105359
276,1305.041502,205.758,0.111949
275.9,-34.37944664,205.797,0.112506
275.8,5317.631094,206.234,0.118821
275.7,5969.233202,206.171,0.117905
275.6,-1119.687747,206.013,0.115632
275.5,4211.744401,206.241,0.118919
275.4,3496.868248,205.255,0.10467
275.3,5318.735178,205.64,0.110245
275.2,7035.283267,206.045,0.11609
275.1,4674.197628,204.555,0.0945142
275,-385.6969697,205.495,0.108147
274.9,2984.013175,206.113,0.117071
274.8,4079.613966,205.459,0.107623
274.7,2742.988142,205.822,0.112866
274.6,-417.0764163,205.975,0.115075
274.5,7.374176548,206.607,0.124194
274.4,3583.043478,205.839,0.113111
274.3,4151.880105,205.813,0.112735
274.2,2375.768116,204.578,0.0948433
274.1,2537.275758,206.054,0.116221
274,2192.986825,205.717,0.111359
273.9,3950.657444,206.078,0.116564
273.8,1893.068511,205.648,0.11036
273.7,5832.977602,205.614,0.109868
273.6,584.8208169,206.359,0.120618
273.5,-177.1054018,206.231,0.118771
273.4,3598.97892,205.851,0.113291
273.3,1204.688406,205.193,0.103767
273.2,3929.212121,206.542,0.123264
273.1,-931.3306983,207.359,0.135015
273,497.812253,206.251,0.119066
272.9,-299.6627141,205.604,0.109721
272.8,3432.532279,205.583,0.109409
272.7,3138.488801,206.248,0.119017
272.6,752.1440053,206.057,0.11627
272.5,2493.97892,205.08,0.102126
272.4,3082.433465,205.199,0.103849
272.3,2651.013043,207.033,0.130326
272.2,-379.8827404,205.836,0.113079
272.1,7008.326746,204.765,0.0975573
272,4677.483531,205.867,0.11352
271.9,3353.191568,205.732,0.111572
271.8,4207.536232,204.984,0.100746
271.7,1633.440053,206.464,0.122137
271.6,1956.392622,205.55,0.108934
271.5,4101.678524,205.347,0.105999
271.4,5101.198946,206.8,0.126968
271.3,-1994.801054,206.496,0.122594
271.2,1949.513623,205.288,0.105146
271.1,1086.41502,205.894,0.113913
271,1482.62332,205.248,0.104572
270.9,-2053.40975,206.234,0.118821
270.8,6061.523057,206.962,0.129299
270.7,-1518.610013,205.758,0.111949
270.6,5278.603426,205.029,0.101386
270.5,-240.7690382,205.736,0.111621
270.4,92.06324111,206.622,0.124406
