TITLE,CC.SJ.9_28_22_PHOSPHATEBUFFER_PROTEIN,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,14:11:26,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,2.2816,,
MAXY,45.72734,,
MINY,-70.38342,,
XYDATA,,,
289.8,0.6027728433,207.417,0.135846
289.7,1.162958667,206.73,0.125973
289.6,0.6193230333,206.445,0.121859
289.5,1.110835,206.724,0.125875
289.4,0.3911103333,207.118,0.131548
289.3,2.828836667,206.642,0.1247
289.2,1.193513333,207.19,0.13259
289.1,0.6932126667,206.94,0.128989
289,0.9298943333,207.243,0.133339
288.9,0.7467733333,206.97,0.129414
288.8,0.855767,207.997,0.144166
288.7,-0.9079703333,207.457,0.136415
288.6,0.03190033333,207.176,0.132378
288.5,1.836593333,207.544,0.137667
288.4,1.05222,207.243,0.133339
288.3,1.160975333,207.485,0.136822
288.2,0.8632113333,206.669,0.125092
288.1,0.6320823333,207.034,0.130342
288,0.1783596667,207.299,0.134153
287.9,1.401944667,207.501,0.137049
287.8,0.694609,206.84,0.127555
287.7,0.1447636667,207.844,0.141974
287.6,1.676893333,207.228,0.133127
287.5,0.8431666667,207.375,0.135243
287.4,0.1121633333,207.074,0.130913
287.3,0.6640343333,206.701,0.125549
287.2,1.313916,207.363,0.135064
287.1,1.347623333,207.653,0.139228
287,0.8834033333,206.87,0.127979
286.9,0.3938566667,207.275,0.133811
286.8,1.118509333,206.636,0.124619
286.7,0.962202,207.142,0.13189
286.6,1.220496667,207.186,0.132525
286.5,0.5364774,207.997,0.144166
286.4,0.5532956667,206.992,0.129739
286.3,0.7070216667,207.406,0.135683
286.2,-0.054229,207.339,0.134723
286.1,0.7393185667,207.481,0.136756
286,0.4139423333,207.382,0.135341
285.9,0.5281003333,208.069,0.145188
285.8,0.3153353333,207.59,0.138334
285.7,0.7668316667,207.432,0.136057
285.6,1.083202667,207.711,0.140057
285.5,0.09177033333,207.803,0.141389
285.4,0.6337836,207.546,0.1377
285.3,1.410502,208.194,0.146989
285.2,0.6586603333,207.193,0.132623
285.1,-0.2455253667,207.927,0.143159
285,0.6975136667,207.646,0.13913
284.9,2.054182,206.877,0.128077
284.8,0.7056476667,207.521,0.137342
284.7,1.018716667,207.87,0.142347
284.6,1.046801,207.891,0.14264
284.5,0.8802526667,207.622,0.138789
284.4,1.098395667,207.437,0.136138
284.3,0.7496966667,207.312,0.134332
284.2,1.02077,206.792,0.126854
284.1,0.617036,207.09,0.131141
284,1.232347667,208.036,0.144718
283.9,1.545293,207.493,0.136935
283.8,1.023273667,207.768,0.140886
283.7,0.310487,207.21,0.132867
283.6,0.4977633333,207.819,0.141617
283.5,1.372648333,207.598,0.138448
283.4,0.9455566667,206.686,0.125337
283.3,0.9858655333,208.114,0.145837
283.2,0.80284,207.577,0.138139
283.1,-0.221385,207.871,0.142364
283,0.879876,208.117,0.145886
282.9,1.187286333,207.95,0.143484
282.8,1.200401,207.86,0.142201
282.7,0.8489083333,207.565,0.137976
282.6,0.3952597667,207.684,0.139683
282.5,1.390342333,207.995,0.144133
282.4,1.103389667,207.621,0.138773
282.3,1.047302333,207.187,0.132541
282.2,1.199103333,207.113,0.131483
282.1,0.5074936667,208.362,0.149388
282,-0.4074283333,207.478,0.136724
281.9,0.794972,207.389,0.135439
281.8,-0.220858,206.831,0.127424
281.7,1.145763,206.669,0.125092
281.6,1.257031333,207.967,0.143728
281.5,1.456214333,207.309,0.1343
281.4,0.7569086667,207.33,0.134592
281.3,1.307238333,207.536,0.137553
281.2,0.8682366667,208.265,0.147994
281.1,1.744355333,207.724,0.140252
281,-0.1914586667,207.024,0.130196
280.9,0.998715,207.721,0.140203
280.8,1.138927667,207.403,0.13565
280.7,0.2061368,207.994,0.144117
280.6,0.1578253333,206.984,0.129625
280.5,0.8890356667,207.27,0.13373
280.4,1.289121667,208.455,0.150717
280.3,0.2285893333,207.355,0.134951
280.2,0.2146301933,207.91,0.142916
280.1,-0.3881783333,207.039,0.130408
280,0.09131053333,208.233,0.14754
279.9,0.5433933333,208.51,0.151511
279.8,0.517225,207.177,0.132395
279.7,1.396193333,207.388,0.135422
279.6,0.7991063333,207.43,0.136024
279.5,1.105807667,208.018,0.144458
279.4,0.311082,208.609,0.15292
279.3,1.393353667,207.952,0.143516
279.2,0.956012,207.53,0.137472
