TITLE,TB TH  KD_ Buffer and Additive,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:01:55,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.10152,,
MAXY,24.87453,,
MINY,-18.08336,,
XYDATA,,,
305,0.59617,208.3133333,0.14869
304.9,0.5787023333,208.6426667,0.1534
304.8,0.068861,208.439,0.1504823333
304.7,0.7165566667,208.243,0.1476703333
304.6,1.816483,208.3223333,0.1488056667
304.5,1.05264,207.8253333,0.1416946667
304.4,0.7040797333,208.16,0.146492
304.3,2.06326,207.886,0.1425623333
304.2,0.8474676667,208.3396667,0.1490633333
304.1,1.533216067,207.9983333,0.144181
304,0.8249106667,208.14,0.146208
303.9,1.860358667,207.537,0.1375523333
303.8,2.424186667,208.4003333,0.149933
303.7,1.149993,207.9233333,0.143101
303.6,0.1970205333,207.8823333,0.1425086667
303.5,0.1682636667,208.5573333,0.1521763333
303.4,0.6560733333,208.202,0.1470993333
303.3,0.6494763333,207.6113333,0.138628
303.2,1.381691733,207.6973333,0.1398666667
303.1,1.444496667,208.5346667,0.1518496667
303,1.056274333,207.908,0.1428883333
302.9,1.014833833,207.914,0.142968
302.8,0.3433121,208.2616667,0.1479556667
302.7,0.345716,208.6803333,0.1539326667
302.6,0.6912685333,208.4686667,0.1509083333
302.5,0.6924752667,207.6283333,0.1388663333
302.4,1.612207667,208.2553333,0.147864
302.3,0.7137023333,208.384,0.1497003333
302.2,1.150244667,208.4933333,0.151265
302.1,1.036027333,208.075,0.1452816667
302,1.112359333,208.664,0.1537056667
301.9,1.566933333,208.2803333,0.1482203333
301.8,0.2741243333,207.8666667,0.1422896667
301.7,1.678441333,207.5346667,0.137515
301.6,1.531525667,207.5346667,0.137523
301.5,1.19146,208.62,0.1530756667
301.4,1.197801,208.4763333,0.1510233333
301.3,0.012737,207.8543333,0.1421096667
301.2,0.5392416667,207.9623333,0.143653
301.1,0.8165133333,208.0936667,0.1455413333
301,1.010933333,208.3053333,0.1485713333
300.9,0.4325186667,208.3176667,0.1487496667
300.8,0.7960936667,207.8223333,0.1416553333
300.7,1.258127667,208.0266667,0.144584
300.6,0.3676043333,208.2206667,0.147365
300.5,1.410173333,207.916,0.1429943333
300.4,1.602576667,207.6346667,0.1389693333
300.3,1.343450333,208.0166667,0.144447
300.2,1.340120667,207.996,0.1441483333
300.1,0.5351006667,208.5393333,0.1519266667
300,1.2028787,208.674,0.1538336667
299.9,1.290016667,207.9203333,0.1430553333
299.8,1.979436667,207.8123333,0.1415103333
299.7,0.7622526667,207.8363333,0.141848
299.6,2.369363333,207.1086667,0.131412
299.5,1.441063333,208.0366667,0.1447243333
299.4,1.317628333,208.0713333,0.1452236667
299.3,1.950310333,207.3103333,0.1342946667
299.2,0.04263166667,207.363,0.1350676667
299.1,0.56717,206.8943333,0.128306
299,1.260228333,207.9663333,0.1436956667
298.9,-0.1755403,208.284,0.1482686667
298.8,1.760692,208.0103333,0.1443536667
298.7,1.321234,207.6396667,0.139038
298.6,1.323773333,207.6986667,0.139884
298.5,-0.2121076667,208.4976667,0.1513093333
298.4,1.097084333,207.5966667,0.1384196667
298.3,0.24354681,208.1706667,0.1466503333
298.2,1.674486667,207.793,0.1412323333
298.1,0.9866993333,207.6993333,0.1398916667
298,1.89758,208.143,0.1462506667
297.9,1.118574667,207.942,0.1433713333
297.8,0.7574256667,207.6943333,0.139814
297.7,1.31989,207.4546667,0.136383
297.6,0.854514,207.6683333,0.1394483333
297.5,-0.1975176667,207.8586667,0.1421783333
297.4,0.2658246667,207.7236667,0.1402396667
297.3,1.717691,207.3196667,0.1344456667
297.2,0.9535923333,207.8586667,0.142185
297.1,0.534722,208.0696667,0.1452006667
297,0.954931,207.1283333,0.1316973333
296.9,0.9610866667,208.0066667,0.1442713333
296.8,0.7735063333,208.239,0.1476236667
296.7,1.209927333,207.9473333,0.143449
296.6,1.81642,208.18,0.1467743333
296.5,1.530856667,207.3313333,0.134597
296.4,1.610295333,207.2603333,0.1335933333
296.3,-0.2602169,207.9773333,0.14387
296.2,0.5045256667,207.9726667,0.1438136667
296.1,1.559905333,207.3706667,0.1351766667
296,1.36942,207.966,0.1437103333
295.9,1.261206667,207.889,0.1425986667
295.8,1.291327333,207.9306667,0.1432013333
295.7,1.163419333,207.4923333,0.1369213333
295.6,0.8886185333,207.124,0.1316326667
295.5,-0.6884903333,207.681,0.1396333333
295.4,1.037221667,207.2193333,0.1329973333
295.3,0.6830483333,207.7963333,0.141279
295.2,1.363078667,207.0223333,0.1301663333
295.1,1.078056333,207.7543333,0.1406796667
