TITLE,TB_TH_KD_Protein and Additive,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:59:09,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,θM [deg*cm^2/dmol],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.84122,,
MAXY,28.98565,,
MINY,-60.63684,,
XYDATA,,,
298.7,-521806.2882,-69.16663467,-2.786062
298.6,-322577.2612,-68.49156367,-2.781568
298.5,402906.7203,-69.83502037,-2.797445
298.4,-307223.2901,-68.61404267,-2.782687
298.3,182707.7291,-69.53213867,-2.797672
298.2,-503345.7756,-69.38741333,-2.782551667
298.1,-397990.4634,-68.90780467,-2.785954333
298,-862855.6102,-69.75833667,-2.791284333
297.9,-264614.6625,-69.503865,-2.790011333
297.8,-476018.3281,-68.97225013,-2.785558
297.7,-102253.5092,-68.768637,-2.781859333
297.6,71674.34063,-69.81847333,-2.788177667
297.5,146820.7421,-69.54454333,-2.785800667
297.4,22915.95887,-68.65865567,-2.781432333
297.3,-387549.2326,-68.580945,-2.777629
297.2,-304724.3451,-69.0630177,-2.78625
297.1,66784.08583,-69.14030467,-2.791299
297,-123060.0507,-68.56933033,-2.780616333
296.9,-61589.92699,-69.54348033,-2.790149
296.8,-344844.8815,-70.16530133,-2.800375667
296.7,-362621.3083,-69.060656,-2.785855667
296.6,-505514.0814,-69.516135,-2.789050667
296.5,-468630.3532,-68.54437633,-2.780323333
296.4,-717820.2801,-69.008343,-2.784962
296.3,217955.8486,-69.87529533,-2.794470667
296.2,343600.0149,-69.03944267,-2.784719
296.1,-529015.4969,-68.95519877,-2.784909
296,-585746.0885,-69.27230867,-2.786637333
295.9,-455235.5834,-69.17205367,-2.787297333
295.8,-526461.6302,-69.63326833,-2.790713667
295.7,-434677.3953,-69.25044933,-2.785452
295.6,-318689.2564,-68.66943823,-2.780492
295.5,385469.0359,-69.27184067,-2.786565333
295.4,-331814.2155,-69.14860667,-2.782658333
295.3,52663.09045,-70.16142333,-2.792777667
295.2,-540830.1594,-68.209539,-2.773274667
295.1,-218095.1125,-69.57606333,-2.788213667
295,-138212.8148,-68.7254192,-2.781506667
294.9,-352444.9411,-68.70442267,-2.782792333
294.8,-216421.7702,-69.28155033,-2.787958667
294.7,-341809.9091,-68.87732267,-2.783198667
294.6,-587058.2626,-68.36823867,-2.774827333
294.5,-503484.7266,-70.13142667,-2.792673333
294.4,-580405.1557,-69.75142667,-2.793945667
294.3,-482534.4956,-68.742854,-2.779782333
294.2,-103957.6814,-69.59542,-2.791304333
294.1,-371888.3922,-68.66148667,-2.773809333
294,-706739.4129,-69.0500257,-2.786533333
293.9,-90299.80629,-69.31858467,-2.787916667
293.8,-128036.3582,-69.15807533,-2.789751
293.7,259275.3688,-68.92821033,-2.786611
293.6,-308705.4537,-68.55941967,-2.777777667
293.5,523169.7214,-69.931813,-2.797055667
293.4,-365250.1863,-68.62572867,-2.781309
293.3,-259281.0311,-69.218309,-2.784523333
293.2,-989745.3435,-68.57730667,-2.777928333
293.1,2578.885412,-69.05724,-2.777921333
293,62595.44032,-68.21166367,-2.771358
292.9,1849.35181,-68.79288767,-2.781195
292.8,-91568.49948,-69.69223267,-2.792116667
292.7,-146473.9979,-69.105588,-2.786370667
292.6,-803434.0635,-68.269848,-2.774005667
292.5,-440015.4969,-69.16501503,-2.78754
292.4,-118212.934,-68.80007767,-2.777957333
292.3,66294.29295,-69.79926333,-2.795548333
292.2,-836738.9659,-68.1111616,-2.773161
292.1,-533831.3217,-69.42278,-2.790451
292,-889698.8526,-68.51748297,-2.778285667
291.9,-470929.0866,-67.91772553,-2.769583333
291.8,-162203.6954,-68.51489933,-2.775229667
291.7,-62676.94829,-68.292545,-2.777544333
291.6,-58480.97154,-69.36018,-2.782770333
291.5,-367819.252,-68.41534933,-2.778187333
291.4,-472357.2195,-69.20953033,-2.785702333
291.3,187241.6927,-69.02554667,-2.777286667
291.2,-369486.47,-67.82359733,-2.772634
291.1,1988.272985,-68.67864133,-2.779436
291,-856252.3618,-68.50429127,-2.778642
290.9,-447425.7786,-68.96707367,-2.788269
290.8,-14044.72955,-67.827734,-2.770121
290.7,-470240.6944,-67.88915567,-2.768312333
290.6,-237980.4798,-68.21244623,-2.774388333
290.5,-75726.2703,-69.00646,-2.778551
290.4,221050.9611,-68.56031433,-2.775362667
290.3,-194475.3092,-67.584838,-2.762089333
290.2,-798205.0365,-68.20597267,-2.775256667
290.1,-125350.1714,-68.95643767,-2.785959
290,-250595.2466,-68.68953067,-2.776896
289.9,-770207.0183,-68.81917667,-2.777455333
