TITLE,CC.SJ.9_28_22_ADDITIVE_KCL_PROTEIN,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,14:21:11,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,1.05716,,
MAXY,63.3399,,
MINY,-41.84982,,
XYDATA,,,
285.6,0.4370107667,207.152,0.132037
285.5,1.488674333,205.795,0.112473
285.4,1.702356667,206.48,0.122366
285.3,1.425508333,206.933,0.128892
285.2,0.546532,206.255,0.119115
285.1,0.5905373333,207.3,0.134169
285,1.350546667,208.918,0.157338
284.9,0.2675676667,207.375,0.135243
284.8,0.5851196667,208.311,0.148659
284.7,1.43642,206.662,0.124994
284.6,1.160505767,207.766,0.140853
284.5,0.9494566667,206.772,0.126576
284.4,1.130232,206.364,0.1207
284.3,1.276551333,206.991,0.129723
284.2,1.124808667,206.236,0.118853
284.1,1.063753333,206.655,0.12488
284,-0.4761433333,207.513,0.137228
283.9,0.562672,207.987,0.14402
283.8,0.8173206667,207.534,0.137521
283.7,1.139548,208.546,0.152013
283.6,1.60849,207.681,0.139634
283.5,1.113100333,206.721,0.125842
283.4,0.8567743333,206.001,0.115452
283.3,0.755387,206.023,0.115779
283.2,1.624259133,208.523,0.15169
283.1,0.6169463333,204.695,0.0965543
283,1.016107,207.823,0.141665
282.9,1.058233,207.478,0.136724
282.8,1.292259333,207.419,0.135878
282.7,1.916996,208.105,0.145707
282.6,1.667592,208.011,0.14436
282.5,1.195809333,207.666,0.139423
282.4,1.297749,207.563,0.137943
282.3,0.5915303333,208.377,0.149599
282.2,1.006117,208.021,0.144506
282.1,1.948203333,206.336,0.120291
282,1.64064,208.402,0.149956
281.9,1.293051,207.4,0.135602
281.8,0.9817773333,207.609,0.138594
281.7,1.084941333,206.999,0.129837
281.6,0.8238093333,207.347,0.134837
281.5,-0.9180903333,206.097,0.116842
281.4,0.097994,207.705,0.139975
281.3,0.826933,207.552,0.137781
281.2,0.7486833333,207.628,0.13887
281.1,1.372312,207.163,0.132199
281,1.005088333,207.851,0.142071
280.9,0.87778596,207.78,0.141048
