TITLE,C2_JH_CW,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/27,,
TIME,15:36:54,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,1.04819,,
MAXY,44.44495,,
MINY,-74.25426,,
XYDATA,,,
310.6,-868.0750988,204.978,0.100647
310.5,-1750.916601,206.422,0.121533
310.4,932.1646904,206.418,0.121467
310.3,2456.424242,205.476,0.107868
310.2,-2168.969697,205.81,0.112702
310.1,1642.58419,206.966,0.129365
310,-348.4888011,206.429,0.121631
309.9,-1316.661397,206.204,0.118379
309.8,2597.679842,206.675,0.125174
309.7,-5305.254018,204.664,0.0960939
309.6,347.6429513,205.751,0.111851
309.5,-4283.264822,207.02,0.130147
309.4,-827.2529644,205.959,0.114846
309.3,2205.712648,206.25,0.119049
309.2,-1741.130435,205.336,0.105835
309.1,7191.968379,206.779,0.126674
309,-4970.957839,205.93,0.114437
308.9,-5740.508696,206.554,0.123427
308.8,3581.940711,205.446,0.107426
308.7,-2651.452042,207.198,0.132704
308.6,-1525.243742,206.313,0.119965
308.5,-2149.690382,206.107,0.116989
308.4,4226.853755,205.483,0.107967
308.3,1131.262451,206.344,0.120406
308.2,-1491.816864,206.173,0.117938
308.1,-9775.786034,205.347,0.105999
308,-4006.355731,205.918,0.114257
307.9,4081.40975,205.992,0.115321
307.8,-1437.329381,205.967,0.114961
307.7,1999.210804,205.806,0.112636
307.6,2921.194993,205.719,0.111375
307.5,1000.052701,205.067,0.101945
307.4,1189.749447,205.672,0.110704
307.3,4955.616601,205.663,0.110573
307.2,172.7694335,205.557,0.109032
307.1,1971.036891,205.68,0.110818
307,698.0677207,205.793,0.112456
306.9,2917.13834,205.873,0.113602
306.8,-1579.295125,205.822,0.112866
306.7,860.7786561,206.12,0.117169
306.6,-2293.599473,205.537,0.108754
306.5,332.4031621,205.074,0.102043
306.4,1565.507246,205.705,0.111179
306.3,-848.2951252,206.121,0.117186
306.2,828.5862978,205.705,0.111179
306.1,3295.814229,205.66,0.110523
306,-953.8498024,205.389,0.106606
305.9,1059.756258,206.03,0.115877
305.8,4818.237154,205.885,0.113782
305.7,1841.748353,205.792,0.11244
305.6,800.4940711,205.676,0.110753
305.5,1777.376812,205.857,0.113373
305.4,-4111.291173,206.39,0.121075
305.3,3251.881423,205.385,0.106557
305.2,2719.472991,205.393,0.106671
305.1,3599.357049,205.429,0.10718
305,3247.869565,205.263,0.104785
304.9,-5952.033729,206.537,0.123182
