TITLE,Protein_AMSS,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/27,,
TIME,14:37:36,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,MOLAR ELLIPTICITY,,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.0788,,
MAXY,35.46646,,
MINY,-73.42445,,
XYDATA,,,
310.5,3239.258328,258.998,0.810309
310.4,286.4950858,260.081,0.823234
310.3,7028.29284,259.258,0.813423
310.2,11731.19269,259.352,0.814546
310.1,6874.950243,259.542,0.816804
310,21731.11127,258.583,0.805349
309.9,9222.186638,258.428,0.803491
309.8,-685.6766253,258.899,0.809131
309.7,-8138.239935,258.393,0.80307
309.6,16026.58572,257.756,0.795437
309.5,8082.683776,258.776,0.807654
309.4,-2774.268388,260.075,0.823166
309.3,16374.2075,259.71,0.818818
309.2,1201.56138,259.194,0.812652
309.1,6614.851344,258.908,0.809239
309,1584.687181,258.342,0.80246
308.9,11294.96693,258.469,0.80398
308.8,-3728.916524,258.449,0.803749
308.7,8835.200132,258.36,0.802677
308.6,12933.72207,257.89,0.797041
308.5,7675.681312,259.357,0.8146
308.4,11345.88436,259.174,0.812421
308.3,7476.577936,258.651,0.806163
308.2,9875.873917,259.325,0.814221
308.1,4459.19368,259.205,0.812787
308,7271.898363,258.748,0.807329
307.9,11440.64692,258.746,0.807302
307.8,11026.98377,260.228,0.824988
307.7,11976.26447,258.222,0.801021
307.6,8277.376855,259.186,0.812557
307.5,11647.17542,258.377,0.802881
307.4,7849.973945,258.789,0.807817
307.3,20529.24908,258.038,0.798821
307.2,14273.43654,259.194,0.812652
307.1,10789.83425,258.709,0.806854
307,6746.19448,257.383,0.790961
306.9,3284.947864,258.89,0.809022
306.8,17305.16443,258.444,0.803681
306.7,-3885.382515,258.401,0.803165
306.6,7014.134659,258.533,0.804753
306.5,10229.68821,257.345,0.790498
306.4,2814.318399,257.034,0.786766
306.3,17735.59801,257.256,0.789436
306.2,4745.686504,258.575,0.805255
306.1,6319.632919,258.469,0.80398
306,9112.73214,257.567,0.793165
305.9,3314.027546,258.344,0.802487
305.8,465.0487439,257.893,0.797082
305.7,16947.99831,258.248,0.801333
305.6,5345.771725,259.088,0.811393
305.5,9785.836029,258.832,0.808332
305.4,4331.788147,258.653,0.80619
305.3,15633.05162,259.512,0.816453
305.2,8180.542589,257.177,0.788482
305.1,14096.0092,258.983,0.810133
305,12976.70776,258.74,0.807234
304.9,11391.54562,258.973,0.810011
304.8,18226.5318,258.398,0.803138
304.7,12962.10855,259.162,0.812272
