TITLE,TB_TH_KD_Protein and Additive,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:59:09,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.84122,,
MAXY,28.98565,,
MINY,-60.63684,,
XYDATA,,,
311.7,0.8702433333,139.2438193,0.155675
311.6,1.211673333,139.0398047,0.1482676667
311.5,1.415386667,139.2407313,0.1550266667
311.4,1.778797667,139.230486,0.1527403333
311.3,0.878559,139.0085887,0.1475886667
311.2,0.6540066667,139.3065173,0.1641626667
311.1,0.7508226667,139.863724,0.1633063333
311,0.7079616333,139.4670793,0.1593243333
310.9,0.4797453333,139.4287607,0.1541753333
310.8,1.530039333,139.1693157,0.1505626667
310.7,0.5747493333,139.2418297,0.157045
310.6,0.7451953333,139.5396657,0.1561743333
310.5,1.584866667,140.0009383,0.1668133333
310.4,0.5631216667,139.3756813,0.1588736667
310.3,0.4462,138.8810647,0.1496896667
310.2,1.857963,139.0889273,0.1516513333
310.1,1.089872,139.2805147,0.1588276667
310,1.607154333,139.3950247,0.1572393333
309.9,1.584942667,139.4170623,0.1610436667
309.8,0.883078,139.412446,0.157526
309.7,2.062013333,139.594702,0.1620516667
309.6,1.315085667,139.201827,0.155957
309.5,1.431712333,139.3168247,0.1554546667
309.4,0.5279256667,139.5773113,0.1597096667
309.3,0.260161,139.229856,0.1598756667
309.2,0.8823963333,139.4363427,0.158981
309.1,1.173215,139.5233897,0.1574416667
309,0.669861,139.75909,0.1671463333
308.9,1.577143333,139.5478333,0.1602723333
308.8,0.8643413333,139.094037,0.155938
308.7,0.9478446667,139.2046747,0.1557056667
308.6,0.93654,138.9514977,0.151856
308.5,0.732598,139.1892413,0.155857
308.4,1.489380333,139.4254153,0.157963
308.3,1.983563333,138.7351633,0.1500613333
308.2,1.020811033,139.143823,0.151471
308.1,1.34294,138.7888863,0.148047
308,1.589966667,138.650659,0.146692
307.9,1.321626,139.228995,0.155531
307.8,1.472413333,139.193587,0.1533013333
307.7,0.8248893333,139.0873293,0.1544833333
307.6,0.7456166667,139.3310443,0.1556276667
307.5,0.328767,139.3554807,0.1518903333
307.4,1.351168,139.524827,0.1554216667
307.3,0.876159,139.4368637,0.156083
307.2,0.4641153,138.793688,0.1469
307.1,0.4873738667,138.692591,0.149817
307,0.8912863333,139.3165613,0.1559563333
306.9,1.529203333,139.5842027,0.159761
306.8,1.609558667,138.6674933,0.146418
306.7,0.18524,139.0782163,0.1478706667
