TITLE,TB_TH_KD_Protein and Additive,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:59:09,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,θM [deg*cm^2/dmol],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.84122,,
MAXY,28.98565,,
MINY,-60.63684,,
XYDATA,,,
302.2,533869.319,138.9802413,0.1508076667
302.1,296230.9641,138.5625357,0.1433953333
302,460114.737,139.611155,0.1592643333
301.9,379941.8865,138.7201943,0.144068
301.8,763345.5521,138.6664877,0.1466173333
301.7,314479.6603,138.9278723,0.1503986667
301.6,793039.7854,139.335955,0.1542636667
301.5,364244.9709,138.836144,0.1486096667
301.4,751956.4893,139.0363567,0.1504296667
301.3,466866.4879,139.0293973,0.1502743333
301.2,329023.8266,138.6016823,0.1465063333
301.1,584776.1883,139.1580017,0.148571
301,102503.0547,138.863104,0.146209
300.9,441222.1726,138.612762,0.143117
300.8,451021.3083,138.560582,0.143136
300.7,270602.4437,138.94918,0.147274
300.6,413712.6956,139.09079,0.151349
300.5,597410.222,138.834713,0.1499026667
300.4,387193.8608,139.4987777,0.157599
300.3,240541.499,138.8470163,0.1494566667
300.2,109556.698,138.8678033,0.1460413333
300.1,204604.0828,138.8744717,0.1464906667
300,506484.5925,138.8753513,0.1479186667
299.9,394699.5977,138.847196,0.1458683333
299.8,797410.52,138.6102673,0.1442886667
299.7,822171.0624,139.1814937,0.1517766667
299.6,120874.8026,138.5269697,0.14347
299.5,254929.6677,139.176075,0.1514813333
299.4,444266.7263,138.7128527,0.145339
299.3,454818.6559,138.4055233,0.1441756667
299.2,517807.9273,139.0637047,0.151867
299.1,412413.6492,138.5984067,0.1387186667
299,485632.7075,138.8139303,0.1471873333
298.9,404343.913,138.971538,0.147146
298.8,619686.0378,138.9607403,0.1491926667
298.7,260912.8297,138.8298247,0.1437786667
298.6,561913.1277,138.842126,0.1457666667
298.5,428246.0736,139.256407,0.150033
298.4,261517.9556,138.4756507,0.1451186667
298.3,423880.1967,139.1746967,0.1515906667
298.2,533790.3442,138.7889237,0.147269
298.1,86930.85978,138.8309687,0.1455656667
298,398294.74,138.7679383,0.145107
297.9,491702.4288,138.7585063,0.1431146667
297.8,652873.4913,138.8141993,0.1465776667
297.7,463376.248,138.689435,0.1415703333
297.6,262268.6634,138.776866,0.147026
297.5,265139.3235,138.813538,0.145214
297.4,254653.7029,138.7045633,0.1454066667
297.3,495724.3481,139.1247223,0.151073
297.2,458097.4519,138.8970353,0.147323
297.1,417994.6357,138.6547883,0.1442673333
297,-43341.67784,138.6827393,0.142604
296.9,464754.135,138.6596083,0.142694
296.8,297624.6461,138.4278013,0.1385753333
296.7,738557.89,138.520085,0.1480026667
296.6,242053.9413,138.677183,0.1477136667
296.5,476902.8461,138.7913193,0.1482566667
296.4,391749.8137,138.8399063,0.147551
296.3,4584.115631,139.0643097,0.1504076667
296.2,86017.28505,139.3251017,0.153178
296.1,275094.1737,138.843708,0.1475236667
296,632964.9829,138.773751,0.1474096667
295.9,548088.9584,138.319022,0.1439616667
295.8,546562.3603,138.7972837,0.145769
295.7,375875.7711,138.3226993,0.1364246667
295.6,581812.8446,138.7576143,0.1451663333
295.5,529607.8081,138.860279,0.145923
295.4,940418.7155,138.6434213,0.140825
295.3,578286.9915,138.7011657,0.1463796667
295.2,532504.9918,138.4573873,0.138983
295.1,246389.9568,138.4451353,0.1385386667
295,501954.9993,138.445407,0.139067
294.9,474147.668,138.7259747,0.145944
294.8,496156.4595,138.749459,0.143516
294.7,67371.77768,138.8640753,0.14909
294.6,378885.114,138.6881093,0.148749
294.5,-231554.6565,138.350599,0.135862
294.4,-65250.18626,138.697656,0.1451263333
294.3,80058.93309,138.7374027,0.1418683333
294.2,610322.4557,138.5998013,0.1399353333
294.1,180544.1812,139.1993837,0.1499556667
294,330315.8993,139.0051007,0.1468766667
293.9,598057.9645,139.1094683,0.1507746667
293.8,169352.5555,138.6837003,0.1460083333
293.7,441257.4877,138.7626527,0.1455496667
293.6,353897.4817,139.0933367,0.1495303333
293.5,213576.6652,138.7507423,0.1437366667
293.4,558788.1091,138.9127673,0.1466853333
293.3,101217.5533,138.9170077,0.1497683333
293.2,519355.0887,138.5488913,0.144103
293.1,398917.1211,138.517141,0.1428973333
293,157645.9544,138.566046,0.1427683333
292.9,255883.1769,138.6497693,0.143564
292.8,625571.0028,138.6592307,0.1415983333
292.7,565448.9644,138.9527697,0.1442053333
292.6,334138.9212,138.4940453,0.1400286667
