TITLE,SL + BM Corrected Average Protein and KCl,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,14:32:43,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.06098,,
MAXY,57.79573,,
MINY,-68.37383,,
XYDATA,,,
274.4,136.1182515,208.151,0.146372
274.3,420.8587485,207.819,0.141617
274.2,211.8870594,207.826,0.141714
274.1,60.11778656,208.466,0.15088
274,56.56193383,207.231,0.133176
273.9,105.027768,207.674,0.139537
273.8,375.6533888,207.893,0.142672
273.7,12.96220142,208.442,0.150539
273.6,-278.0587576,207.433,0.136073
273.5,-77.86712386,207.993,0.144101
273.4,331.9726655,208.091,0.145513
273.3,-550.797582,208.274,0.148124
273.2,118.9188773,208.116,0.14587
273.1,79.71387286,208.73,0.154652
273,170.5058341,208.116,0.14587
272.9,35.19957459,207.846,0.142006
272.8,-25.61244002,208.62,0.153082
272.7,-42.74437154,208.054,0.144977
272.6,249.7490567,208.887,0.156885
272.5,959.476747,207.734,0.140398
272.4,-564.1252996,207.492,0.136919
272.3,-248.2370305,207.764,0.14082
272.2,223.2646258,208.525,0.151722
272.1,102.7699715,208.45,0.150653
272,37.72645692,208.257,0.147881
271.9,-667.904291,208.291,0.148367
271.8,699.6163493,208.71,0.154361
271.7,172.6632559,208.223,0.147394
271.6,33.38576813,207.918,0.143029
271.5,113.0114638,208.689,0.15407
271.4,552.1741275,208.004,0.144263
271.3,-98.63479684,208.428,0.150329
271.2,-397.7169738,208.28,0.148221
271.1,-40.71156255,208.189,0.146908
271,-113.7077759,208.522,0.151673
270.9,143.5814625,208.933,0.157548
270.8,198.7705731,207.802,0.141373
270.7,397.2120617,207.158,0.132118
270.6,-445.0750353,207.656,0.139277
270.5,-519.145002,207.927,0.143159
270.4,177.4169823,208.615,0.153001
270.3,276.6652398,208.995,0.158438
270.2,-221.0479499,208.791,0.155526
270.1,604.2353718,207.805,0.141405
270,34.32622885,208.716,0.154442
269.9,205.2280988,207.848,0.142023
269.8,-765.1527762,208.814,0.15585
269.7,-406.1550512,208.244,0.147703
269.6,143.7260697,208.455,0.150717
269.5,-252.5450252,208.282,0.148238
269.4,-228.4773651,209.125,0.16028
269.3,878.1587312,208.835,0.156141
269.2,368.5778021,208.739,0.154782
269.1,692.9061739,208.503,0.151398
269,213.351593,208.449,0.150636
268.9,-437.0987391,209.455,0.164996
268.8,92.22110143,210.328,0.177402
268.7,-289.6085784,208.411,0.150085
268.6,132.4528234,208.728,0.15462
268.5,235.5137365,208.347,0.149178
268.4,324.2543754,207.789,0.141178
268.3,-426.7439791,208.888,0.156901
268.2,-631.4424814,208.822,0.155963
268.1,402.9112518,208.658,0.153617
268,599.6457406,209.978,0.172429
267.9,-152.2262751,208.653,0.153552
267.8,-59.77298024,209.523,0.165964
267.7,144.5313175,208.794,0.155559
267.6,-400.7465351,208.673,0.153827
267.5,-84.38792375,208.176,0.14673
267.4,-460.8416917,208.609,0.15292
267.3,-30.08450064,208.822,0.155963
267.2,270.3168432,209.306,0.162865
267.1,257.0155968,209.289,0.162623
267,-236.9745481,209.689,0.168319
266.9,326.9813557,209.003,0.158551
266.8,165.4015243,209.77,0.16948
266.7,-302.1599155,209.981,0.172477
266.6,-23.92597085,209.543,0.166239
266.5,-424.3874151,209.06,0.159359
266.4,-136.6699418,209.953,0.172074
266.3,507.9416996,207.965,0.143711
266.2,-60.98531092,209.534,0.166109
266.1,-475.326368,209.568,0.166593
266,475.3272229,209.531,0.166077
265.9,-15.53715761,208.848,0.156335
265.8,-131.3305652,209.47,0.165206
265.7,202.5088037,208.956,0.157872
265.6,-185.0704321,208.622,0.153098
265.5,-171.5942369,209.361,0.163656
265.4,-4.05460377,210.394,0.178335
265.3,88.73915311,209.685,0.168271
265.2,351.502058,209.645,0.16769
265.1,-135.650917,208.476,0.151025
265,174.7810006,209.701,0.168497
264.9,-106.2727036,209.513,0.165819
264.8,-483.2736062,209.968,0.172284
264.7,133.1857006,209.024,0.158842
264.6,645.9607036,209.139,0.160491
264.5,1165.168905,210,0.172751
264.4,-293.4762602,209.314,0.162978
264.3,545.2190449,209.319,0.163059
264.2,253.4848307,209.27,0.162348
264.1,-187.9399921,209.617,0.167303
264,502.2921462,210.041,0.17333
263.9,0.719879676,209.336,0.163301
263.8,248.4941464,209.662,0.167932
263.7,246.4634216,210.485,0.179637
263.6,151.5350575,210.259,0.17642
263.5,336.8783096,209.539,0.16619
263.4,558.9039555,209.691,0.168351
263.3,275.5176718,210.407,0.178527
263.2,239.3267497,210.717,0.182914
263.1,-187.7324531,209.487,0.165448
263,-446.8186744,209.809,0.170028
262.9,-376.4973898,210.71,0.182818
262.8,176.5673385,210.232,0.176034
262.7,135.3815929,210.701,0.182689
262.6,-39.94125692,209.221,0.161654
262.5,209.1722306,210.45,0.179138
262.4,-158.6708393,209.445,0.164851
262.3,-805.5667273,209.162,0.160814
262.2,-20.17206324,209.971,0.172332
262.1,230.8532488,210.62,0.181549
262,-613.9172386,210.7,0.182673
261.9,41.24153112,210.751,0.183396
261.8,-151.8204875,211.022,0.187248
261.7,723.0755361,209.96,0.172171
261.6,425.3144439,210.257,0.176388
261.5,890.3430791,210.053,0.173491
261.4,271.1858566,210.645,0.181902
261.3,-79.64490119,210.136,0.174683
261.2,-136.9762775,210.159,0.175005
261.1,270.380415,211.575,0.195067
261,438.6876098,210.643,0.18187
260.9,-149.7509841,210.178,0.175278
260.8,309.5337983,210.127,0.174554
260.7,-322.9968775,209.566,0.166577
260.6,751.5725282,210.626,0.181629
260.5,105.7459659,210.958,0.186333
260.4,366.344511,210.429,0.178833
260.3,126.8023768,209.465,0.165125
260.2,-379.5038747,211.927,0.200025
260.1,281.6284557,211.52,0.194283
260,635.3830697,210.831,0.184536
259.9,905.6181779,211.417,0.192826
259.8,123.5267167,211.113,0.188531
259.7,586.0539545,210.598,0.181228
259.6,488.0353874,209.936,0.171832
259.5,-208.4437602,211.904,0.199706
259.4,366.7975534,210.975,0.186574
259.3,111.4140249,210.642,0.181854
259.2,192.0351626,211.378,0.192281
259.1,-558.6615785,210.633,0.181726
259,19.55327287,210.69,0.182545
258.9,155.5249224,209.911,0.171478
258.8,-89.5461875,210.072,0.173765
258.7,-238.7576853,211.371,0.192185
258.6,-346.3814758,210.468,0.179396
258.5,808.746583,211.16,0.189188
258.4,114.9940124,211.173,0.189381
258.3,-25.54216849,210.836,0.1846
258.2,-891.449705,210.842,0.184696
258.1,49.47092361,210.423,0.178752
258,-331.7738808,211.327,0.19156
257.9,280.3052096,210.475,0.179492
257.8,-364.1209867,209.87,0.170898
257.7,533.9945272,211.599,0.195403
257.6,13.32616892,210.973,0.186542
257.5,-40.57512617,211.022,0.187248
257.4,-264.0418446,211.37,0.192169
257.3,-259.5638288,210.397,0.178383
257.2,277.3504454,211.834,0.198714
257.1,210.712842,210.355,0.177788
257,576.4648103,210.995,0.186863
256.9,-478.1531724,211.8,0.198235
256.8,203.0885428,212.474,0.207737
256.7,-274.0937826,211.366,0.192105
256.6,263.3008534,210.976,0.18659
256.5,-310.2895138,212.958,0.214542
256.4,196.109639,211.405,0.192665
256.3,248.5091832,212.166,0.203396
256.2,987.4100791,211.145,0.18898
256.1,-581.8295558,211.42,0.192873
256,-251.9986352,212.052,0.201799
255.9,85.92752253,210.628,0.181661
255.8,-386.934198,212.52,0.208391
255.7,762.0248049,212.942,0.214319
255.6,-135.0211542,211.643,0.196027
255.5,553.4792105,212.406,0.20678
255.4,393.0318655,211.303,0.191224
255.3,109.0955597,211.889,0.199498
255.2,-72.04144535,211.855,0.199018
255.1,419.4631165,212.611,0.209667
255,939.1047381,211.903,0.199689
254.9,-520.0931448,212.442,0.207291
254.8,553.8402451,212.344,0.205902
254.7,-50.36182213,212.525,0.208455
254.6,602.1518394,212.467,0.207642
254.5,-281.7554208,211.936,0.200153
254.4,606.3253953,211.428,0.192986
254.3,-374.5317112,212.405,0.206764
254.2,194.1337022,211.896,0.199594
254.1,156.4732885,211.911,0.199802
