TITLE,TB_TH_KD_Buffer and Protein,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:46:33,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,1.52488,,
MAXY,54.35196,,
MINY,-54.54156,,
XYDATA,,,
311.5,0.777961,139.0108667,150.4296092
311.4,0.888466,139.3923387,150.5602682
311.3,0.755374,138.8634267,150.3062669
311.2,-0.165467,138.998803,150.011112
311.1,0.245252333,138.8783897,150.0745473
311,0.737991633,139.133517,150.2905029
310.9,0.19557,138.66052,149.9186967
310.8,0.698838333,139.5305623,150.3431336
310.7,0.094682,138.2529967,149.6825596
310.6,0.068749733,139.204734,149.9578279
310.5,0.430189333,139.0764917,150.002227
310.4,-0.0830696,138.7750947,149.6973417
310.3,0.126977667,139.599856,150.0089446
310.2,0.723412,138.9147773,149.9460631
310.1,1.084832633,139.0887353,150.0911893
310,0.438331333,139.4021017,149.946811
309.9,0.987562,138.7606677,149.8827432
309.8,1.066032133,139.334265,150.0667657
309.7,0.122264667,138.9053357,149.5758668
309.6,0.138189,138.781989,149.506726
309.5,0.741913333,139.206111,149.8160081
309.4,0.1620496,139.1054213,149.5558236
309.3,0.791762733,139.6495133,149.9137587
309.2,0.5062903,138.7029155,149.4697353
309.1,0.720081,139.2972067,149.7057626
309,1.135596033,139.0275233,149.7210398
308.9,0.648814333,139.1694483,149.5727542
308.8,0.0627865,138.985684,149.2828235
308.7,1.204694333,139.4623277,149.7890073
308.6,0.7615606,139.2768967,149.5461524
308.5,0.215629333,138.906124,149.2072511
308.4,0.692881667,139.149869,149.4142502
308.3,0.099793,138.9070757,149.1022896
308.2,2.152728,138.874185,149.7423043
308.1,1.450460667,138.5987367,149.3830658
308,0.42064,138.910112,149.1102507
307.9,0.17087405,138.7741973,148.9483571
307.8,0.251212333,139.1539407,149.0683843
307.7,1.156706767,139.00309,149.2865989
307.6,1.3806489,139.167412,149.382687
307.5,0.680820333,139.4991243,149.2266482
307.4,0.270734967,139.2167043,148.9624798
307.3,0.91245,139.0476167,149.0866889
307.2,0.554462733,138.9996747,148.9180458
307.1,0.788926,138.6778017,148.8555759
307,0.880775333,139.5491227,149.1432993
306.9,1.42341523,138.4958487,148.9397546
306.8,0.22221654,139.056366,148.6928608
306.7,1.565555,138.8077903,149.0244484
306.6,-0.258390667,138.406494,148.2493678
306.5,-0.104842333,138.9033463,148.4328347
306.4,0.55261,138.9078757,148.6201619
