TITLE,KMGM_Additive&PROTEIN_928_Averages,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,15:27:31,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.43344,,
MAXY,54.05992,,
MINY,-64.3879,,
XYDATA,,,
301.4,0.299034,207.2863333,0.1339663333
301.3,-0.04527,207.1333333,0.131769
301.2,-0.2550176667,207.5506667,0.1377356667
301.1,1.584930333,207.4843333,0.1368033333
301,1.562613333,206.955,0.1292053333
300.9,0.32489,206.5363333,0.1231723333
300.8,1.352143333,207.294,0.1340753333
300.7,0.6827473333,207.3416667,0.134757
300.6,1.322448,206.851,0.1276986667
300.5,0.7767013333,206.946,0.1290653333
300.4,0.989296,207.507,0.137132
300.3,0.6392096667,206.8533333,0.1277396667
300.2,0.9046063333,207.3323333,0.1346233333
300.1,1.536596667,207.2593333,0.133582
300,1.503505667,207.53,0.1374633333
299.9,1.015497,206.826,0.1273516667
299.8,1.47697,207.0933333,0.1311843333
299.7,1.349907667,207.195,0.1326413333
299.6,1.953842667,207.1073333,0.1313856667
299.5,1.282861,207.05,0.130567
299.4,1.783339667,207.2606667,0.133599
299.3,2.21107,207.0646667,0.1307746667
299.2,1.262656,207.1196667,0.1315736667
299.1,1.442753,207.0383333,0.130378
299,1.111097,207.118,0.131541
298.9,1.140692667,207.5203333,0.137322
298.8,1.190086667,207.6936667,0.139806
298.7,0.8917643,207.0783333,0.1309763333
298.6,1.091758,206.8313333,0.1274236667
298.5,1.285928333,206.8523333,0.1277273333
298.4,0.6336586667,207.2513333,0.1334573333
298.3,0.4385286667,207.5126667,0.1372136667
298.2,0.8093763333,206.8233333,0.1273056667
298.1,2.61988,207.4536667,0.136371
298,0.1302243333,207.3736667,0.135215
297.9,1.253658767,207.0226667,0.1301736667
297.8,0.962244,207.6403333,0.139049
297.7,0.4823011,207.5363333,0.1375493333
297.6,1.395697333,206.96,0.1292503333
297.5,1.101297333,206.965,0.129345
297.4,1.908485,207.4006667,0.1356116667
297.3,1.863846667,207.3386667,0.1347123333
297.2,0.7279716667,207.231,0.1331653333
297.1,2.365236667,207.133,0.1317646667
297,0.9000803333,207.785,0.1411233333
296.9,0.6704178,207.0816667,0.1310076667
296.8,0.9160343333,206.7946667,0.126902
296.7,2.553716667,206.7803333,0.1266936667
296.6,1.137156667,207.2243333,0.133072
296.5,1.344866667,207.611,0.138617
296.4,1.198862667,207.1126667,0.131476
296.3,0.4199542333,207.4323333,0.136061
296.2,1.90892,207.1336667,0.1317686667
296.1,1.638468433,207.3153333,0.1343806667
296,1.267698333,207.2243333,0.1330726667
295.9,1.186143333,207.5393333,0.1375953333
295.8,1.226313333,206.6526667,0.1248543333
295.7,1.252450333,206.9986667,0.129831
295.6,0.9922893333,207.1416667,0.1318893333
295.5,1.304921667,206.6943333,0.1254503333
295.4,1.645903,207.3036667,0.1342033333
295.3,0.631288,207.0423333,0.1304603333
295.2,1.457677,206.752,0.126276
295.1,0.28790687,207.1666667,0.1322473333
295,0.17739,207.0256667,0.130195
294.9,0.8678973333,207.0136667,0.130049
294.8,1.064833333,206.5873333,0.1239096667
294.7,1.32047,207.1233333,0.1316293333
294.6,0.3873423333,207.3746667,0.1352173333
294.5,0.5006726667,206.7653333,0.1264683333
294.4,1.154443333,206.7936667,0.126883
294.3,1.185169333,206.8786667,0.1281046667
294.2,1.832950333,206.3383333,0.120315
294.1,1.431776667,207.5266667,0.137419
294,1.938176667,207.0216667,0.1301673333
293.9,1.715793333,207.2716667,0.1337503333
293.8,2.035229,207.2413333,0.1333086667
293.7,1.572313333,207.308,0.134282
293.6,1.130055667,207.2843333,0.1339386667
293.5,0.6966646667,206.9316667,0.12887
293.4,0.85973,207.0653333,0.1307913333
293.3,2.192156667,207.651,0.1392023333
293.2,1.86699,206.923,0.1287393333
293.1,1.037373667,207.567,0.137996
293,1.334575667,206.348,0.120464
292.9,1.586662,206.7806667,0.1266843333
292.8,1.621284667,207.1783333,0.1324143333
292.7,1.55355,206.3806667,0.1209166667
292.6,1.401221667,207.2923333,0.1340216667
292.5,0.9498183333,206.932,0.1288656667
292.4,1.285737,206.282,0.1195053333
292.3,1.908706667,207.0186667,0.130117
292.2,1.918561,206.709,0.1256513333
292.1,0.3798396667,207.2216667,0.133034
292,1.611912667,206.8183333,0.127235
291.9,0.738126,205.9836667,0.115206
291.8,1.389857333,206.645,0.124708
291.7,1.779211,206.206,0.1184043333
291.6,1.568313333,206.672,0.1251343333
291.5,0.9197106667,206.635,0.124594
291.4,0.356922,206.6956667,0.1254643333
291.3,1.533486667,206.478,0.1223363333
291.2,1.71178,205.9786667,0.1151253333
291.1,1.878946667,206.1773333,0.1180003333
291,1.174037667,206.134,0.1173753333
290.9,1.689806667,206.7306667,0.1259723333
290.8,0.7762576667,206.6016667,0.1241053333
290.7,0.9601926667,206.6303333,0.1245286667
290.6,0.4736206667,206.7223333,0.125857
290.5,0.3336133333,207.1706667,0.132302
290.4,0.962979,206.5246667,0.1230093333
290.3,0.880974,206.9483333,0.129109
290.2,0.4284873333,206.906,0.128493
290.1,0.7501531,206.884,0.1281846667
290,1.36425,206.9966667,0.1298006667
289.9,0.3967203333,206.9066667,0.128499
289.8,0.7696856667,207.6553333,0.1392603333
289.7,1.139762333,206.6223333,0.1244013333
289.6,0.470979,206.57,0.123665
289.5,0.208432,206.7586667,0.1263753333
289.4,0.9433653333,207.049,0.1305563333
289.3,0.9979573333,207.2276667,0.133127
289.2,1.282713,206.945,0.1290496667
289.1,1.653136667,207.1726667,0.1323063333
289,0.466702,206.9303333,0.1288466667
288.9,1.528422667,207.406,0.135686
288.8,1.18692,207.1333333,0.13177
288.7,0.3332723333,207.2226667,0.1330486667
288.6,1.230906667,207.2246667,0.133077
288.5,1.625529667,206.764,0.1264566667
288.4,0.967683,207.0706667,0.1308676667
288.3,1.305612667,207.5223333,0.1373426667
288.2,0.1812126667,206.334,0.120251
288.1,1.054653333,207.0333333,0.1303306667
288,1.041579333,207.4726667,0.136642
287.9,2.193056667,206.9106667,0.12857
287.8,1.101710333,207.2086667,0.1328496667
287.7,0.994396,206.8186667,0.1272353333
287.6,0.2984936667,207.329,0.134567
287.5,0.181123,207.4316667,0.136049
287.4,0.06041366667,207.4576667,0.1364193333
287.3,2.28439,206.9793333,0.1295523333
287.2,1.730346667,207.5426667,0.137649
287.1,1.052449333,207.3676667,0.1351256667
287,1.109381133,207.3846667,0.135379
286.9,1.240053667,207.2936667,0.1340706667
286.8,1.308157333,207.2633333,0.133627
286.7,1.769033333,207.402,0.135623
286.6,1.340969,207.7536667,0.1406726667
286.5,0.515615,207.423,0.1359233333
286.4,1.688426667,207.494,0.13695
286.3,1.83297,207.454,0.1363763333
286.2,1.520594667,207.214,0.132927
286.1,0.8283263333,207.0803333,0.1310083333
286,1.231587667,207.9183333,0.143022
285.9,0.4018086667,207.173,0.132327
285.8,0.2513506667,207.5586667,0.1378766667
285.7,0.4457966667,207.463,0.1365063333
285.6,1.43678,207.7423333,0.1405073333
285.5,0.9508996667,207.5636667,0.1379483333
285.4,0.08267466667,207.3673333,0.135129
285.3,1.532809333,207.416,0.1358193333
285.2,1.467022333,206.7253333,0.125902
285.1,0.7587973333,207.411,0.1357493333
285,0.8568336667,207.6986667,0.1398876667
284.9,1.057241667,207.7706667,0.140906
284.8,0.631791,207.2096667,0.132867
284.7,1.445901333,207.344,0.1347896667
284.6,-0.09404033333,207.53,0.1374663333
284.5,0.982149,206.2956667,0.119701
284.4,1.140058667,207.4516667,0.1363353333
284.3,0.1402226667,207.4593333,0.136453
284.2,0.2746056667,207.5386667,0.1375816667
284.1,0.7713683333,207.582,0.1382093333
284,-0.3758916667,207.8523333,0.1420923333
283.9,0.9136945333,207.854,0.1421113333
283.8,-0.02697133333,207.5943333,0.1383853333
283.7,0.648198,207.4866667,0.136842
283.6,0.610769,207.585,0.1382476667
283.5,0.942228,207.0973333,0.1312333333
283.4,1.374162667,207.7226667,0.1401996667
283.3,0.6876276667,207.5413333,0.137631
283.2,1.55607,208.1376667,0.1461763333
283.1,0.6378243333,207.6026667,0.1385043333
283,1.350444333,207.3746667,0.135237
282.9,0.4026776667,207.7896667,0.141189
282.8,1.225792333,207.39,0.135452
282.7,0.9231103333,207.307,0.1342653333
282.6,1.98345,207.858,0.142169
282.5,2.263116333,207.5356667,0.1375523333
282.4,1.119284333,207.599,0.1384453333
282.3,0.4456123333,207.6136667,0.1386573333
282.2,0.7804376667,207.7916667,0.1412206667
282.1,0.7803273333,207.5176667,0.1372846667
282,0.5113713667,207.344,0.1347973333
281.9,1.640328,207.3486667,0.1348576667
281.8,1.541597,206.8683333,0.127953
281.7,0.9939933333,208.0803333,0.1453476667
281.6,1.413154,207.389,0.135438
281.5,0.9019196667,207.719,0.1401736667
281.4,-0.3955453333,207.958,0.1436043333
281.3,1.603303,207.079,0.1309863333
281.2,1.023069,207.7803333,0.1410483333
281.1,0.88973939,207.5943333,0.1383836667
281,0.5099733333,207.4596667,0.1364563333
280.9,0.6789827333,207.2583333,0.1335553333
280.8,0.604677,207.4246667,0.135931
280.7,0.4974666667,207.5226667,0.1373563333
280.6,0.6793753333,207.8463333,0.1420033333
280.5,0.3833426667,207.0853333,0.1310606667
280.4,0.905722,207.656,0.1392733333
280.3,1.77487,206.7903333,0.126807
280.2,0.2834326667,207.6713333,0.13949
280.1,0.6787716667,207.525,0.137395
280,1.340554,207.6353333,0.1389756667
279.9,1.063413333,207.8723333,0.1423666667
279.8,1.799087667,207.7936667,0.1412463333
279.7,1.863725333,208.5583333,0.1521863333
279.6,1.535042333,207.5673333,0.1380013333
279.5,0.5627723333,207.4683333,0.1365763333
279.4,0.28159,207.4303333,0.1360303333
279.3,1.726418333,207.753,0.1406553333
279.2,0.3934259633,207.537,0.1375683333
279.1,0.5622826667,207.4806667,0.1367536667
279,0.5329433333,207.6516667,0.1392083333
278.9,0.07281866667,207.4933333,0.1369033333
278.8,1.313410667,207.4343333,0.13609
278.7,0.7513076667,207.5826667,0.1382086667
278.6,0.41088,207.6986667,0.1398816667
278.5,1.191778333,207.503,0.137066
278.4,1.450096,207.4183333,0.1358496667
278.3,0.7416256667,207.9133333,0.142964
278.2,0.826985,207.6246667,0.138807
278.1,0.5099301,208.198,0.1470416667
278,0.2393457667,208.022,0.1445216667
277.9,2.232342,207.8543333,0.142119
277.8,0.7660945,207.7226667,0.140225
