TITLE,AZNTEA_ADDITIVE&PROTEIN_928,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,15:55:35,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,2.04193,,
MAXY,51.60477,,
MINY,-66.95696,,
XYDATA,,,
295.9,1.656671667,207.0783333,0.130975
295.8,0.7957458,206.823,0.1273023333
295.7,1.58178,207.2793333,0.1338623333
295.6,1.41898,207.117,0.1315293333
295.5,1.179649667,207.4263333,0.1359736667
295.4,1.399015333,207.2993333,0.1341466667
295.3,1.466546,206.9233333,0.1287486667
295.2,1.103588333,206.9266667,0.128792
295.1,0.4359113333,207.0073333,0.129952
295,1.192666,206.7136667,0.125728
294.9,0.4991523333,206.9813333,0.129577
294.8,0.987001,207.222,0.133038
294.7,0.6069833333,207.3023333,0.1341993333
294.6,2.122145,206.8726667,0.1280163333
294.5,1.061074333,206.898,0.1283856667
294.4,0.8690313333,207.186,0.1325296667
294.3,0.9021493333,206.8966667,0.1283613333
294.2,0.912421,207.2306667,0.133164
294.1,0.616594,207.2816667,0.1339026667
294,1.540343333,207.4006667,0.1356083333
293.9,1.23244,207.4446667,0.136236
293.8,2.249886667,206.617,0.12434
293.7,1.064635333,206.9146667,0.1286253333
293.6,0.8617337,206.5556667,0.1234586667
293.5,1.196193333,207.1423333,0.131895
293.4,1.488268667,206.7873333,0.1267906667
293.3,0.5625534333,207.4573333,0.136424
293.2,1.708742333,207.2413333,0.1333106667
293.1,1.466376667,207.3223333,0.134483
293,1.664471667,206.886,0.1282113333
292.9,1.76379,207.129,0.1317036667
292.8,1.472013333,206.8406667,0.1275593333
292.7,1.199394667,207.001,0.1298596667
292.6,1.307721667,207.156,0.1320896667
292.5,1.361971,206.643,0.1247076667
292.4,2.016361667,207.117,0.131528
292.3,0.9104316667,206.7206667,0.1258293333
292.2,-0.2622216667,206.372,0.1208066667
292.1,1.848279667,206.669,0.1250833333
292,0.925019,206.7383333,0.126086
291.9,1.157459333,206.4983333,0.122629
291.8,0.488306,206.6923333,0.1254283333
291.7,1.077686333,206.954,0.1291846667
291.6,0.654469,206.9046667,0.1284753333
291.5,1.815433333,206.4646667,0.1221393333
291.4,1.709133333,206.5346667,0.1231536667
291.3,1.157554333,206.61,0.1242356667
291.2,1.255483667,206.6093333,0.124232
291.1,1.597676667,206.9303333,0.1288446667
291,0.9477100667,206.6426667,0.1247096667
290.9,1.657835,207.2293333,0.1331483333
290.8,1.563775,206.781,0.126691
290.7,0.9144362,206.6053333,0.124171
290.6,1.327247,206.8286667,0.127388
290.5,1.027767667,206.4386667,0.1217633333
290.4,0.9300963333,206.9713333,0.1294403333
290.3,1.67314,206.802,0.1270046667
290.2,0.5372573333,206.9273333,0.1288093333
290.1,0.5944226667,207.0043333,0.129917
290,1.652972667,206.7826667,0.126728
289.9,2.29562,207.4316667,0.136048
289.8,1.353349667,207.4703333,0.136608
289.7,0.4028733333,207.262,0.133613
289.6,0.7333923333,206.804,0.1270323333
289.5,0.8656163333,207.1386667,0.1318453333
289.4,1.39277,207.7323333,0.1403706667
289.3,1.490463333,207.4943333,0.136955
289.2,1.298593333,206.8406667,0.127559
289.1,1.372303667,207.1136667,0.1314786667
289,0.39718,207.6233333,0.1388043333
288.9,1.390167,207.0423333,0.130449
288.8,2.1819,206.747,0.1262113333
288.7,0.509626,207.6586667,0.139305
288.6,1.029023,207.099,0.1312706667
288.5,0.972409,207.196,0.132671
288.4,0.9378596667,207.3426667,0.134773
288.3,0.8155658667,207.5166667,0.1372753333
288.2,0.9420193333,207.5923333,0.1383583333
288.1,1.64527,207.6103333,0.13862
288,1.110064333,207.256,0.1335263333
287.9,0.2312706667,207.5683333,0.1380173333
287.8,0.875262,207.3463333,0.134829
287.7,1.3082617,207.71,0.140048
287.6,1.918704,207.481,0.1367606667
287.5,1.339255,207.2056667,0.132805
287.4,0.1164566667,207.535,0.137536
287.3,1.312393467,207.3883333,0.1354383333
287.2,0.9335091,207.545,0.1376753333
287.1,0.1005566667,207.374,0.1352133333
287,1.802046667,207.259,0.1335643333
286.9,1.065323333,207.624,0.1388153333
286.8,0.7781626667,207.5073333,0.1371366667
286.7,0.8975953333,207.224,0.1330726667
286.6,0.293729,207.7096667,0.1400386667
286.5,2.1231,207.9,0.1427733333
286.4,0.8275423333,207.8316667,0.1417903333
286.3,0.9538646667,207.4743333,0.1366676667
286.2,2.0965,207.602,0.1385
286.1,1.388532333,207.489,0.136871
286,0.9880693333,208.098,0.1456086667
285.9,0.3744771,207.5143333,0.1372426667
285.8,1.154982667,207.3696667,0.135161
285.7,1.119697,207.3586667,0.135003
285.6,1.184946333,207.5906667,0.1383383333
285.5,0.6469383333,207.694,0.1398173333
285.4,1.631344,208.208,0.1471793333
285.3,0.70289,207.658,0.1392893333
285.2,-0.2540300333,207.865,0.1422676667
285.1,-0.3733326667,207.47,0.136604
285,0.6106643333,207.9083333,0.1428936667
284.9,0.2292493333,207.326,0.1345376667
284.8,0.8469673333,207.5513333,0.1377663333
284.7,1.274625,207.585,0.138256
284.6,1.491525333,207.6826667,0.1396536667
284.5,0.255623,207.3986667,0.1355733333
284.4,1.249428667,207.6503333,0.1391916667
284.3,1.019603667,207.712,0.1400756667
284.2,1.869807667,207.698,0.1398756667
284.1,0.4434403333,207.6853333,0.1396936667
284,0.6364693333,207.536,0.1375416667
283.9,-0.1129413333,207.447,0.1362786667
283.8,1.21373,207.3923333,0.1354896667
283.7,1.468238333,207.8373333,0.1418756667
283.6,0.5170137867,207.8493333,0.1420436667
283.5,1.068784,207.2946667,0.1340863333
283.4,1.808420803,207.6246667,0.1388116667
283.3,0.7509166667,207.837,0.1418683333
283.2,1.684707,207.9386667,0.1433226667
283.1,1.339424333,208.0416667,0.1447993333
283,0.814657,207.661,0.1393433333
282.9,0.6132202333,207.5996667,0.138467
282.8,1.389151333,207.925,0.1431266667
282.7,0.631196,207.6076667,0.1385723333
282.6,0.5368633333,207.6483333,0.1391573333
282.5,0.8250013333,207.4463333,0.13626
282.4,0.8898363333,207.9176667,0.1430286667
282.3,0.284013,207.6703333,0.1394683333
282.2,1.192281233,208.082,0.1453796667
282.1,0.5796176667,208.0303333,0.1446326667
282,0.516632,207.6583333,0.139308
281.9,0.757111,207.69,0.139764
281.8,-0.1296583333,207.6936667,0.139817
281.7,1.294655,207.6173333,0.1387183333
281.6,1.34218,207.784,0.1411073333
281.5,1.087159333,207.5776667,0.138149
281.4,0.2273717333,207.5753333,0.138115
281.3,0.3431373333,207.5633333,0.1379446667
281.2,0.2723053,207.761,0.140781
281.1,2.022646667,207.9146667,0.1429773333
281,0.5810363333,207.454,0.1363646667
280.9,0.8780073333,207.524,0.1373786667
280.8,1.003818667,208.3426667,0.1491033333
280.7,1.134486333,208.193,0.14697
