TITLE,ECTC_PROTEIN&ADDITIVE_928,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,17:48:34,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.59321,,
MAXY,56.26346,,
MINY,-57.28013,,
XYDATA,,,
273.4,-0.665735,207.55,0.137748
273.3,1.47423,208.087,0.145448
273.2,-0.529741,207.507,0.13713
273.1,-0.708537,207.655,0.13926
273,0.691051,207.918,0.143029
272.9,-1.08564,207.796,0.141275
272.8,1.08415,207.516,0.137261
272.7,0.760515,206.694,0.125451
272.6,0.235937,207.619,0.13874
272.5,1.02783,206.624,0.124439
272.4,-2.15591,205.976,0.115092
272.3,2.32342,207.722,0.140219
272.2,-0.976005,207.68,0.139618
272.1,1.59228,208.401,0.14994
272,-0.286201,207.349,0.134869
271.9,0.322295,209.267,0.162316
271.8,1.06842,208.201,0.147086
271.7,0.455276,207.571,0.138057
271.6,1.50085,208.796,0.155591
271.5,0.121925,208.243,0.147686
271.4,0.486083,207.495,0.136968
271.3,-0.184241,208.492,0.151252
271.2,-0.456296,206.931,0.128859
271.1,-0.603016,207.936,0.143289
271,1.15266,207.741,0.140495
270.9,1.59967,207.223,0.133062
270.8,-0.0218455,207.67,0.139472
270.7,-0.0169216,207.33,0.134592
270.6,-0.559095,207.615,0.138692
270.5,-0.345525,207.844,0.141974
270.4,1.23359,207.269,0.133713
270.3,0.58088,207.892,0.142656
270.2,0.955474,207.185,0.132509
270.1,2.64781,207.66,0.139325
270,1.27202,207.071,0.13088
269.9,0.828811,207.324,0.134511
269.8,0.796515,209.87,0.170898
269.7,-0.0159902,207.895,0.142705
269.6,0.414848,208.832,0.156109
269.5,1.10013,208.645,0.153438
269.4,0.612609,208.243,0.147686
269.3,1.84597,208.663,0.153698
269.2,0.0426515,208.415,0.15015
269.1,2.5187,207.26,0.133583
269,1.98837,208.072,0.145237
268.9,0.625368,208.049,0.144912
268.8,0.0026397,208.763,0.155122
268.7,-0.234462,208.192,0.146956
268.6,0.49039,208.404,0.149988
268.5,-0.812672,208.73,0.154652
268.4,-1.08751,208.362,0.149388
268.3,-1.02281,208.932,0.157532
268.2,0.792341,207.807,0.141438
268.1,0.590349,207.25,0.133453
268,-1.04451,209.017,0.158745
267.9,-0.204008,207.827,0.14173
267.8,1.28198,207.623,0.138805
267.7,0.502084,207.887,0.142591
267.6,0.375949,209.002,0.158535
267.5,-0.79333,208.487,0.151171
267.4,-1.59797,208.923,0.157403
267.3,-1.07175,207.754,0.140674
267.2,-1.01615,208.653,0.153552
267.1,-0.0633571,208.821,0.155947
267,0.599856,208.616,0.153017
266.9,0.601556,208.938,0.157613
266.8,-1.01187,208.24,0.147638
266.7,0.239915,207.925,0.143127
266.6,-0.0589959,207.81,0.141486
266.5,2.05835,210.431,0.178865
266.4,1.14269,208.299,0.148481
266.3,0.611155,208.663,0.153698
266.2,0.00532909,207.619,0.13874
266.1,1.00643,208.797,0.155607
266,1.04481,206.716,0.125761
265.9,-0.73137,208.07,0.145204
265.8,0.339536,208.399,0.149923
265.7,0.253399,208.365,0.149437
265.6,0.0267263,208.632,0.153244
265.5,0.386272,210.176,0.175246
265.4,-0.641342,208.439,0.150491
265.3,1.5614,208.185,0.146859
265.2,0.804456,208.759,0.155057
265.1,-0.55979,209.455,0.164996
265,1.90327,209.234,0.161848
264.9,-0.438475,209.987,0.172557
264.8,0.479291,209.425,0.16456
264.7,0.2786,208.141,0.146226
264.6,1.33183,209.249,0.162058
264.5,-0.0543451,208.43,0.150361
264.4,-0.832772,208.943,0.157694
264.3,-0.80595,208.78,0.155365
264.2,0.467544,208.337,0.149032
264.1,0.730896,208.499,0.151349
264,0.16819,209.111,0.160087
263.9,0.0551351,209.162,0.160814
263.8,-0.269378,209.913,0.17151
263.7,0.0397004,209.261,0.162219
263.6,-0.46461,209.671,0.168061
263.5,1.19742,209.545,0.166271
263.4,0.454012,209.878,0.171011
263.3,1.48024,208.623,0.153114
263.2,-0.250965,209.649,0.167755
263.1,0.757059,208.913,0.157257
263,1.24198,209.492,0.165513
262.9,0.0261067,209.672,0.168077
262.8,-0.48543,209.548,0.166319
262.7,1.96446,209.692,0.168367
262.6,0.530106,210.176,0.175246
262.5,-0.0139285,210.242,0.176179
262.4,0.333828,209.61,0.16719
262.3,0.214967,208.726,0.154588
262.2,0.730954,210.098,0.174135
262.1,0.390636,209.78,0.169609
262,0.096699,209.576,0.166707
261.9,0.61372,209.681,0.168206
261.8,-1.4139,209.382,0.163947
261.7,1.30168,209.079,0.159634
261.6,2.08719,210.639,0.181822
261.5,-0.809281,209.736,0.168996
261.4,-1.32252,209.877,0.170995
261.3,0.458202,210.096,0.174103
261.2,1.28092,209.767,0.169431
261.1,-0.00125053,209.8,0.169899
261,-0.000639176,209.717,0.168722
260.9,-0.685171,210.336,0.177514
260.8,1.23741,210.156,0.174956
260.7,1.20176,209.973,0.172364
260.6,0.826861,209.325,0.16314
260.5,0.615125,209.633,0.167529
260.4,0.720685,210.204,0.175648
260.3,-1.63456,211.11,0.188482
260.2,-0.192456,210.266,0.176517
260.1,1.22906,210.548,0.180521
260,0.953197,209.858,0.170721
259.9,0.830522,210.799,0.184087
259.8,-0.485044,210.551,0.180569
259.7,0.10845,209.608,0.167174
259.6,0.458023,210.106,0.174248
259.5,-1.0614,210.354,0.177772
259.4,-0.680717,210.369,0.177981
259.3,-0.614861,210.636,0.181774
259.2,-0.32357,210.027,0.173121
259.1,1.69592,210.413,0.178608
259,-0.573164,210.594,0.181179
258.9,2.00016,211.089,0.188194
258.8,-0.656853,210.618,0.181517
258.7,1.37624,211.001,0.186943
258.6,0.506294,210.165,0.175085
258.5,0.187036,210.613,0.181453
258.4,1.15553,210.255,0.176372
258.3,0.476234,210.477,0.179524
258.2,0.540406,211.357,0.191976
258.1,1.00586,210.919,0.185788
258,0.961662,210.715,0.182898
257.9,0.436667,211.059,0.187761
257.8,4.01871,211.722,0.197131
257.7,-0.276655,211.436,0.193098
257.6,0.397996,210.625,0.181613
257.5,0.591863,211.109,0.188467
257.4,0.997169,211.033,0.187392
257.3,0.0792816,211.007,0.187023
257.2,-0.748121,211.583,0.195179
257.1,1.48584,211.396,0.192537
257,0.509384,210.757,0.183492
256.9,0.188671,210.783,0.183862
256.8,0.159798,211.334,0.191656
256.7,0.0976473,211.24,0.190326
256.6,-0.318901,210.978,0.186622
256.5,-1.75012,211.033,0.187392
256.4,-0.358043,210.336,0.177514
256.3,0.477554,210.541,0.180424
256.2,1.14042,210.534,0.180328
256.1,-0.576148,210.66,0.182111
256,2.0903,211.19,0.189621
255.9,0.0703047,211.428,0.192986
255.8,1.39039,211.01,0.187071
255.7,2.08753,212.091,0.202342
255.6,0.845684,210.888,0.185338
255.5,2.33125,211.757,0.197627
255.4,0.808219,211.914,0.199849
255.3,-0.700642,211.999,0.201048
255.2,0.585999,212.186,0.203684
255.1,0.760874,211.851,0.198954
255,0.634947,211.73,0.197243
254.9,0.985446,211.972,0.200665
254.8,1.87684,211.893,0.199546
254.7,0.281841,211.603,0.195451
254.6,1.48869,211.842,0.198826
254.5,-0.246739,211.735,0.197323
254.4,0.399495,211.391,0.192457
254.3,0.770256,211.637,0.195931
254.2,1.1854,211.539,0.194555
254.1,1.10801,211.666,0.196347
254,0.552176,213.093,0.216435
253.9,-0.0462134,211.632,0.195867
253.8,0.180114,211.846,0.19889
253.7,1.57245,211.984,0.20084
253.6,-0.282069,212.161,0.203332
253.5,0.430477,212.715,0.211133
253.4,0.215601,211.791,0.198107
253.3,0.528852,212.148,0.203141
253.2,0.492828,212.493,0.208008
253.1,-0.969545,212.492,0.207992
253,-1.82231,212.017,0.201304
252.9,0.885408,212.296,0.205232
252.8,-0.150783,211.759,0.197659
252.7,-0.536164,211.863,0.19913
252.6,1.65197,212.235,0.20437
252.5,0.619289,212.432,0.207147
252.4,-0.0337115,211.895,0.199578
252.3,1.33964,212.358,0.20611
252.2,-0.539434,211.623,0.195739
252.1,-0.459745,212.408,0.206812
252,0.892936,213.818,0.226605
251.9,-0.141753,212.356,0.206078
251.8,0.141603,212.663,0.2104
251.7,0.645566,212.046,0.201703
251.6,0.650932,212.066,0.201991
251.5,-0.752271,213.395,0.220681
251.4,1.07987,213.069,0.216101
251.3,-0.980938,213.766,0.225875
251.2,1.49911,212.08,0.202183
251.1,2.40343,212.627,0.20989
251,0.235672,213.306,0.219426
250.9,1.18516,212.621,0.20981
250.8,0.0317034,213.282,0.219092
250.7,0.797683,213.129,0.216945
250.6,0.339749,213.238,0.218472
250.5,1.36149,212.32,0.205567
250.4,-0.046149,212.621,0.20981
250.3,0.530563,213.874,0.227398
250.2,-0.733015,213.232,0.218392
250.1,0.338877,212.302,0.205312
250,-0.322696,213.17,0.217517
249.9,-0.0710387,212.933,0.214191
249.8,0.664408,213.131,0.216976
249.7,0.468947,213.419,0.221015
249.6,-0.422281,213.72,0.22524
249.5,-1.06004,213.928,0.228144
249.4,1.4804,214.058,0.229967
249.3,-0.47794,214.942,0.242311
249.2,-0.758757,214.363,0.234229
249.1,-0.147124,213.572,0.22316
249,0.397213,213.726,0.225319
248.9,-0.852584,213.87,0.227335
248.8,-0.31957,212.929,0.214144
248.7,0.103954,213.639,0.224097
248.6,1.19467,213.124,0.216881
248.5,0.823212,213.212,0.218106
248.4,-0.248779,214.002,0.22919
248.3,0.127544,213.016,0.215353
248.2,-1.69941,213.389,0.220602
248.1,-0.74232,213.718,0.225208
248,-2.02067,213.963,0.228635
247.9,0.256944,213.559,0.222985
247.8,-0.835028,214.053,0.229904
247.7,-0.809076,214.367,0.234292
247.6,-0.966444,213.724,0.225288
