TITLE,ECTC_PROTEIN&BUFFER_928,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,17:49:36,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [molar ellipticity],,
Y2UNITS,HT [V] (did not change),,
Y3UNITS,ABSORBANCE (did not change),,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,2.00528,,
MAXY,53.38551,,
MINY,-55.11642,,
XYDATA,,,
310.4,630156.1012,207.444,0.136236
310.3,376405.506,208.216,0.147297
310.2,142159.7321,207.85,0.142055
310.1,986596.7262,208.258,0.147897
310,509924.6726,206.69,0.125385
309.9,817002.9762,207.613,0.138659
309.8,569227.5298,206.919,0.12868
309.7,55821.875,208.354,0.149275
309.6,415147.4702,208.129,0.146048
309.5,227688.244,208.43,0.150361
309.4,1145842.262,207.475,0.136675
309.3,800974.8512,209.179,0.161056
309.2,614705.3571,206.426,0.121582
309.1,598742.5595,207.829,0.141762
309,293471.7262,207.405,0.135666
308.9,647861.0119,208.05,0.144928
308.8,399745.2381,207.705,0.139975
308.7,539729.7619,207.59,0.138334
308.6,336605.9375,207.284,0.133941
308.5,361811.9048,208.423,0.150264
308.4,781671.131,208.756,0.155025
308.3,732305.0595,207.495,0.136968
308.2,462591.9643,207.197,0.132688
308.1,420260.119,207.115,0.131499
308,686332.1429,208.165,0.146567
307.9,837040.1786,207.888,0.142607
307.8,421891.6667,207.807,0.141438
307.7,931848.8095,208.378,0.149615
307.6,720738.8393,207.142,0.13189
307.5,740102.2321,208.228,0.147476
307.4,346139.881,206.424,0.121565
307.3,363230.5208,207.027,0.130245
307.2,681071.5774,207.362,0.135048
307.1,866507.4405,207.717,0.140154
307,630508.9286,208.083,0.145399
306.9,938822.9167,208.127,0.146032
306.8,924546.131,206.613,0.124276
306.7,579127.2321,207.113,0.131483
306.6,617907.7381,207.921,0.143078
306.5,772922.3214,207.66,0.139325
306.4,495799.1071,208.66,0.153649
306.3,701366.0714,207.706,0.139992
306.2,561237.3512,206.559,0.123509
306.1,627810.7143,207.728,0.1403
306,331804.7619,207.576,0.138123
305.9,771516.369,208.135,0.146145
305.8,758874.5536,207.604,0.138529
305.7,374056.1012,207.661,0.139342
305.6,473447.0238,206.823,0.12731
305.5,401654.7619,207.143,0.131906
305.4,657234.0774,207.073,0.130896
305.3,724564.881,207.564,0.13796
305.2,353150.878,207.226,0.133095
305.1,444677.381,207.619,0.13874
305,531697.9167,207.307,0.134267
304.9,760715.7738,207.747,0.140577
304.8,766632.4405,207.457,0.136415
304.7,716008.1845,207.513,0.137228
304.6,300190.9226,207.371,0.135178
304.5,203293.8988,207.894,0.142688
