TITLE,KMGM_BUFFER&PROTEIN_928_Averages,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,15:18:43,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,1.27862,,
MAXY,49.95761,,
MINY,-56.57431,,
XYDATA,,,
311.7,-1.265113333,207.623,0.1387976667
311.6,0.00184,207.9036667,0.1428286667
311.5,0.563964667,207.826,0.1417066667
311.4,0.304269333,208.3093333,0.1486256667
311.3,0.0291543337,208.0196667,0.1444886667
311.2,1.90709,207.5433333,0.137654
311.1,0.3982873333,207.856,0.1421373333
311,0.870126667,207.4576667,0.1364253333
310.9,0.570196,207.6356667,0.1389716667
310.8,0.572855334,207.3896667,0.1354543333
310.7,0.047417,207.613,0.1386556667
310.6,-1.749966333,207.5596667,0.1378926667
310.5,-0.530246333,207.6963333,0.1398496667
310.4,-0.081015334,207.716,0.1401376667
310.3,0.3136153333,207.6773333,0.1395766667
310.2,0.003313666,208.2276667,0.1474643333
310.1,0.095744167,207.922,0.1430816667
310,-0.476109333,207.754,0.1406746667
309.9,0.6139084,207.1966667,0.1326753333
309.8,1.104592933,208.3753333,0.1495663333
309.7,-0.715252,207.7546667,0.1406816667
309.6,0.186827334,207.364,0.1350646667
309.5,0.628803333,207.858,0.1421666667
309.4,0.8992153337,207.7073333,0.1400116667
309.3,0.411011333,207.7866667,0.1411403333
309.2,-0.574420333,207.9383333,0.1433256667
309.1,1.272191667,207.462,0.1364893333
309,1.368690667,207.8506667,0.1420606667
308.9,1.052759667,207.3773333,0.135261
308.8,1.119155,207.9483333,0.1434613333
308.7,-1.060151667,207.4793333,0.136736
308.6,-1.066201734,207.66,0.1393356667
308.5,1.325343533,207.4383333,0.136148
308.4,0.071950667,207.255,0.1335136667
308.3,0.232305767,207.796,0.1412846667
308.2,0.745861,207.6573333,0.139293
308.1,0.713373666,207.5456667,0.1376833333
308,0.732169,207.1866667,0.1325213333
307.9,1.699411833,207.4803333,0.1367543333
307.8,0.22121,207.8076667,0.1414463333
307.7,0.203326667,207.7676667,0.1408683333
307.6,0.661497667,207.594,0.138387
307.5,0.656547334,207.5226667,0.1373586667
307.4,-0.909541,207.151,0.132017
307.3,-0.76711,207.2586667,0.1335703333
307.2,0.155422,207.536,0.1375506667
307.1,1.157913666,207.8693333,0.1423343333
307,0.28086,207.7196667,0.140186
306.9,0.7420990003,207.5953333,0.1383986667
306.8,0.09895366667,208.0733333,0.145251
306.7,0.201449,207.229,0.133135
