TITLE,Protein_AMSS,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/27,,
TIME,14:37:36,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,MOLAR ELLIPTICITY,,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.0788,,
MAXY,35.46646,,
MINY,-73.42445,,
XYDATA,,,
294.8,18238.63184,258.024,0.798658
294.7,14733.92798,257.179,0.788509
294.6,5656.410354,257.691,0.794662
294.5,453.6995824,258.275,0.801659
294.4,15942.97103,258.248,0.801333
294.3,6284.280439,259.18,0.812489
294.2,13811.26014,257.896,0.797122
294.1,6654.139165,258.268,0.801577
294,12146.56793,259.113,0.811691
293.9,5148.380449,258.024,0.798658
293.8,4737.693691,257.862,0.796715
293.7,1402.322575,258.427,0.803477
293.6,1500.29221,258.077,0.799283
293.5,2374.608954,259.02,0.81058
293.4,19934.25719,257.406,0.791233
293.3,2559.871464,258.129,0.799908
293.2,18016.60171,257.571,0.79322
293.1,13537.43731,258.105,0.799622
293,4769.83932,258.141,0.800057
292.9,4149.987154,258.755,0.80741
292.8,7526.56129,259.054,0.810986
292.7,6703.448535,257.914,0.79734
292.6,13336.27353,257.735,0.795192
292.5,4370.492451,257.798,0.79594
292.4,12441.14404,257.816,0.796157
292.3,11058.02095,258.232,0.801143
292.2,6445.771906,257.543,0.79288
292.1,12216.9947,258.058,0.799065
292,7832.662968,258.28,0.801727
291.9,14942.56212,257.747,0.795328
291.8,3563.598277,257.699,0.794757
291.7,10245.17853,257.342,0.790471
291.6,3484.857532,257.422,0.791423
291.5,11033.64445,257.913,0.797326
291.4,6866.231427,257.144,0.788087
291.3,8606.251493,257.559,0.79307
291.2,9169.593294,257.486,0.792199
291.1,15373.45481,256.764,0.78352
291,-1400.705466,256.994,0.786288
290.9,5358.159002,257.877,0.796891
290.8,6843.684637,259.258,0.813423
290.7,6739.730569,257.457,0.791845
290.6,3195.605445,257.558,0.793056
290.5,11629.88254,257.288,0.789817
290.4,9011.5984,258.019,0.79859
290.3,11325.57212,257.538,0.792825
290.2,3011.306416,258.437,0.8036
290.1,4379.163772,258.93,0.809497
290,1426.407314,258.256,0.801428
289.9,6449.960556,258.316,0.802148
289.8,3585.079132,258.727,0.807071
289.7,2293.286489,258.22,0.801007
289.6,3168.768229,256.8,0.783943
289.5,1.91112824,259.526,0.816615
289.4,1931.456311,257.922,0.797435
289.3,10338.66549,257.55,0.792961
289.2,-4323.492267,259.991,0.822168
289.1,11133.08419,258.223,0.801034
289,9877.226408,257.633,0.793968
288.9,2950.673441,258.801,0.807952
288.8,-2074.557975,258.437,0.8036
288.7,11868.45467,257.627,0.793886
288.6,8286.199709,258.39,0.803043
288.5,21477.7115,258.326,0.80227
288.4,9670.783848,258.101,0.799582
288.3,5080.290003,257.763,0.795518
288.2,6218.946993,258.873,0.808819
288.1,6910.769309,258.816,0.808142
288,17911.04863,258.316,0.802148
287.9,4655.915496,258.522,0.804617
287.8,17850.34486,258.476,0.804074
287.7,15064.7341,258.668,0.806366
287.6,6949.563403,258.805,0.808006
287.5,8209.860879,257.4,0.791165
287.4,7376.547901,258.74,0.807234
287.3,12965.20706,258.989,0.810201
287.2,13990.48778,258.55,0.804956
287.1,-2698.682701,258.607,0.805634
287,1260.921702,258.307,0.802039
286.9,16542.63557,258.706,0.806827
